race,cases_total,cases_pct,deaths_total,deaths_pct,population_pct,date,age
Latino,3738149,45.3,40240,43.1,38.9,2022-08-26,all
White,2081133,25.2,32968,35.3,36.6,2022-08-26,all
Asian,837842,10.2,10259,11.0,15.4,2022-08-26,all
African American,444215,5.4,6570,7.0,6.0,2022-08-26,all
Multi-Race,82860,1.0,1405,1.5,2.2,2022-08-26,all
American Indian or Alaska Native,37914,0.5,461,0.5,0.5,2022-08-26,all
Native Hawaiian and other Pacific Islander,62755,0.8,579,0.6,0.3,2022-08-26,all
Other,959402,11.6,956,1.1,0.0,2022-08-26,all
Total with data,8244270,100.0,93438,100.0,100.0,2022-08-26,all
Latino,2925631,43.6,40198,43.1,36.3,2022-08-26,18+
White,1805179,26.9,32950,35.3,38.8,2022-08-26,18+
Asian,711995,10.6,10250,11.0,16.2,2022-08-26,18+
African American,372628,5.6,6563,7.0,6.1,2022-08-26,18+
Multi-Race,66319,1.0,1401,1.5,1.7,2022-08-26,18+
American Indian or Alaska Native,31299,0.5,461,0.5,0.5,2022-08-26,18+
Native Hawaiian and other Pacific Islander,53374,0.8,578,0.6,0.3,2022-08-26,18+
Other,744977,11.1,955,1.0,0.0,2022-08-26,18+
Total with data,6711402,100.0,93356,100.0,100.0,2022-08-26,18+
Latino,811426,53.1,40,52.6,47.9,2022-08-26,0-17
White,275040,18.0,14,18.4,29.2,2022-08-26,0-17
Asian,125559,8.2,9,11.8,12.7,2022-08-26,0-17
African American,71430,4.7,7,9.2,5.4,2022-08-26,0-17
Multi-Race,16537,1.1,4,5.3,4.0,2022-08-26,0-17
American Indian or Alaska Native,6588,0.4,0,0.0,0.4,2022-08-26,0-17
Native Hawaiian and other Pacific Islander,9360,0.6,1,1.3,0.3,2022-08-26,0-17
Other,213433,13.9,1,1.3,0.0,2022-08-26,0-17
Total,1529373,100.0,76,100.0,100.0,2022-08-26,0-17
Latino,1245188,48.4,1051,65.7,45.0,2022-08-26,18-34
White,558909,21.7,223,13.9,30.2,2022-08-26,18-34
Asian,270375,10.5,107,6.7,14.7,2022-08-26,18-34
African American,137926,5.4,145,9.1,6.5,2022-08-26,18-34
Multi-Race,26494,1.0,18,1.1,2.6,2022-08-26,18-34
American Indian or Alaska Native,11598,0.5,14,0.9,0.6,2022-08-26,18-34
Native Hawaiian and other Pacific Islander,17900,0.7,24,1.5,0.4,2022-08-26,18-34
Other,304540,11.8,17,1.1,0.0,2022-08-26,18-34
Total,2572930,100.0,1599,100.0,100.0,2022-08-26,18-34
Latino,869623,45.7,3983,67.0,41.5,2022-08-26,35-49
White,459307,24.1,852,14.3,32.5,2022-08-26,35-49
Asian,205651,10.8,373,6.3,17.5,2022-08-26,35-49
African American,99629,5.2,462,7.8,5.9,2022-08-26,35-49
Multi-Race,18001,0.9,110,1.9,1.6,2022-08-26,35-49
American Indian or Alaska Native,9107,0.5,36,0.6,0.5,2022-08-26,35-49
Native Hawaiianand other Pacific Islander,17338,0.9,65,1.1,0.4,2022-08-26,35-49
Other,224299,11.8,64,1.1,0.0,2022-08-26,35-49
Total,1902955,100.0,5945,100.0,100.0,2022-08-26,35-49
Latino,572727,40.4,11046,57.2,32.2,2022-08-26,50-64
White,431756,30.4,4496,23.3,43.0,2022-08-26,50-64
Asian,147617,10.4,1418,7.3,16.3,2022-08-26,50-64
African American,87095,6.1,1576,8.2,6.4,2022-08-26,50-64
Multi-Race,13649,1.0,262,1.4,1.2,2022-08-26,50-64
American Indian or Alaska Native,7108,0.5,137,0.7,0.5,2022-08-26,50-64
Native Hawaiian and other Pacific Islander,11971,0.8,176,0.9,0.4,2022-08-26,50-64
Other,147004,10.4,215,1.1,0.0,2022-08-26,50-64
Total,1418927,100.0,19326,100.0,100.0,2022-08-26,50-64
Latino,188515,30.8,14010,44.2,21.8,2022-08-26,65-79
White,253281,41.4,10935,34.5,54.0,2022-08-26,65-79
Asian,65987,10.8,3220,10.2,16.9,2022-08-26,65-79
African American,37311,6.1,2376,7.5,5.5,2022-08-26,65-79
Multi-Race,6073,1.0,505,1.6,1.0,2022-08-26,65-79
American Indian or Alaska Native,2827,0.5,157,0.5,0.5,2022-08-26,65-79
Native Hawaiian and other Pacific Islander,5020,0.8,202,0.6,0.3,2022-08-26,65-79
Other,52141,8.5,311,1.0,0.0,2022-08-26,65-79
Total,611155,100.0,31716,100.0,100.0,2022-08-26,65-79
Latino,49577,24.1,10108,29.1,19.6,2022-08-26,80+
White,101924,49.6,16444,47.3,57.2,2022-08-26,80+
Asian,22365,10.9,5132,14.8,17.0,2022-08-26,80+
African American,10667,5.2,2004,5.8,4.8,2022-08-26,80+
Multi-Race,2102,1.0,506,1.5,0.9,2022-08-26,80+
American Indian or Alaska Native,659,0.3,117,0.3,0.4,2022-08-26,80+
Native Hawaiian and other Pacific Islander,1145,0.6,111,0.3,0.2,2022-08-26,80+
Other,16993,8.3,348,1.0,0.0,2022-08-26,80+
Total,205432,100.0,34770,100.0,100.0,2022-08-26,80+
