id,school,status,color,staff_student,transmission,testing_period,tests,pos,pos_rate,change,cos,cos_tests,cos_pos,cos_pos_rate,cos_change,lausd_tests,lausd_pos,lausd_pos_rate,lausd_change,date,time
2,107TH ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),771,0,0.00,-0.13,Fremont CoS,"12,055",23,0.19,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
3,109TH ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),356,0,0.00,0.00,Achievement NetworkCoS,"4,946",5,0.10,0.05,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
4,10TH ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),429,0,0.00,-0.50,MacArthur Park CoS,"6,210",6,0.10,-0.15,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
5,112TH ST EEC,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),64,0,0.00,0.00,Achievement NetworkCoS,"4,946",5,0.10,0.05,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
6,112TH ST EL,OPEN,green,1,0,Past 7 days (4/22/2022 - 4/28/2022),346,1,0.29,-10.82,Achievement NetworkCoS,"4,946",5,0.10,0.05,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
7,116TH ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),422,0,0.00,0.00,Achievement NetworkCoS,"4,946",5,0.10,0.05,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
8,118TH ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),506,0,0.00,-0.20,Fremont CoS,"12,055",23,0.19,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
9,122ND ST EL,OPEN,green,3,0,Past 7 days (4/22/2022 - 4/28/2022),574,3,0.52,-49.48,Fremont CoS,"12,055",23,0.19,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
10,135TH ST EL,OPEN,green,2,0,Past 7 days (4/22/2022 - 4/28/2022),574,2,0.35,0.35,Gardena CoS,"8,739",35,0.40,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
11,153RD ST EL,OPEN,green,5,0,Past 7 days (4/22/2022 - 4/28/2022),457,4,0.88,-0.08,Gardena CoS,"8,739",35,0.40,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
12,156TH ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),385,0,0.00,-0.30,Gardena CoS,"8,739",35,0.40,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
13,15TH ST EL,OPEN,green,1,0,Past 7 days (4/22/2022 - 4/28/2022),400,1,0.25,-0.02,San Pedro CoS,"9,838",27,0.27,-0.39,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
14,186TH ST EL,OPEN,green,7,4,Past 7 days (4/22/2022 - 4/28/2022),646,5,0.77,-0.11,Gardena CoS,"8,739",35,0.40,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
15,1ST ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),445,0,0.00,-0.26,Boyle Heights CoS,"10,491",13,0.12,-0.17,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
16,20TH ST EL,OPEN,green,6,0,Past 7 days (4/22/2022 - 4/28/2022),554,6,1.08,0.86,(Blank),,(Bla…,(Bla…,(Bla…,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
17,232ND PL EL,OPEN,green,1,0,Past 7 days (4/22/2022 - 4/28/2022),414,0,0.00,-0.48,Carson CoS,"11,410",35,0.31,-0.11,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
18,24TH ST EEC,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),77,0,0.00,0.00,Manual Arts/VermontSquare CoS,"9,156",36,0.39,-0.17,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
19,24TH ST EL,OPEN,green,3,0,Past 7 days (4/22/2022 - 4/28/2022),502,3,0.60,0.60,Manual Arts/VermontSquare CoS,"9,156",36,0.39,-0.17,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
20,28TH ST EEC,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),75,0,0.00,0.00,(Blank),,(Bla…,(Bla…,(Bla…,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
21,28TH ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),555,0,0.00,-0.19,(Blank),,(Bla…,(Bla…,(Bla…,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
22,2ND ST EL,OPEN,green,1,0,Past 7 days (4/22/2022 - 4/28/2022),238,1,0.42,0.42,Boyle Heights CoS,"10,491",13,0.12,-0.17,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
23,32ND ST USC PA MAG,OPEN,green,5,0,Past 7 days (4/22/2022 - 4/28/2022),884,5,0.57,0.22,Manual Arts/VermontSquare CoS,"9,156",36,0.39,-0.17,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
24,36TH ST EEC,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),54,0,0.00,0.00,LA Mid-City CoS,"7,243",39,0.54,-0.04,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
25,37TH ST EEC,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),67,0,0.00,0.00,Manual Arts/VermontSquare CoS,"9,156",36,0.39,-0.17,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
26,3RD ST EL,OPEN,green,6,0,Past 7 days (4/22/2022 - 4/28/2022),641,11,1.72,-42.72,Fairfax CoS,"7,989",60,0.75,-0.36,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
27,42ND ST EL,OPEN,green,7,0,Past 7 days (4/22/2022 - 4/28/2022),201,7,3.48,2.95,H.E.E.T. (C/D) CoS,"3,724",19,0.51,0.03,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
28,49TH ST EL,OPEN,green,1,0,Past 7 days (4/22/2022 - 4/28/2022),595,2,0.34,-4.92,Historic Central AvenueCoS,"9,485",22,0.23,0.00,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
29,4TH ST EEC,OPEN,green,1,0,Past 7 days (4/22/2022 - 4/28/2022),92,2,2.17,-1.63,East Los Angeles CoS,"12,789",29,0.23,-0.03,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
30,4TH ST EL,OPEN,green,3,0,Past 7 days (4/22/2022 - 4/28/2022),328,3,0.91,0.59,East Los Angeles CoS,"12,789",29,0.23,-0.03,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
31,4TH ST PC,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),203,0,0.00,0.00,East Los Angeles CoS,"12,789",29,0.23,-0.03,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
32,52ND ST EL,OPEN,green,4,0,Past 7 days (4/22/2022 - 4/28/2022),606,4,0.66,0.66,South Mid-City CoS,"6,208",18,0.29,-0.01,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
33,54TH ST EL,OPEN,green,1,0,Past 7 days (4/22/2022 - 4/28/2022),263,1,0.38,0.38,LA Mid-City CoS,"7,243",39,0.54,-0.04,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
34,59TH ST EL,OPEN,green,2,0,Past 7 days (4/22/2022 - 4/28/2022),251,2,0.80,-0.50,H.E.E.T. (C/D) CoS,"3,724",19,0.51,0.03,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
35,61ST ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),603,0,0.00,0.00,South Mid-City CoS,"6,208",18,0.29,-0.01,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
36,66TH ST EEC,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),73,0,0.00,0.00,Rivera CoS,"12,574",34,0.27,0.05,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
37,66TH ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),774,0,0.00,0.00,Rivera CoS,"12,574",34,0.27,0.05,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
38,6TH AVE EL,OPEN,green,1,0,Past 7 days (4/22/2022 - 4/28/2022),396,1,0.25,0.25,LA Mid-City CoS,"7,243",39,0.54,-0.04,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
39,74TH ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),372,1,0.27,-0.58,H.E.E.T. (C/D) CoS,"3,724",19,0.51,0.03,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
40,75TH ST EEC,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),79,0,0.00,0.00,Fremont CoS,"12,055",23,0.19,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
41,75TH ST EL,OPEN,green,9,0,Past 7 days (4/22/2022 - 4/28/2022),827,9,1.09,0.83,Fremont CoS,"12,055",23,0.19,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
42,7TH ST EL AI MAG,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),352,0,0.00,0.00,San Pedro CoS,"9,838",27,0.27,-0.39,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
43,92ND ST EL,OPEN,green,3,0,Past 7 days (4/22/2022 - 4/28/2022),678,3,0.44,0.44,Achievement NetworkCoS,"4,946",5,0.10,0.05,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
44,93RD ST EL,OPEN,green,1,0,Past 7 days (4/22/2022 - 4/28/2022),909,1,0.11,-11.00,Fremont CoS,"12,055",23,0.19,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
45,95TH ST EEC,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),59,0,0.00,0.00,H.E.E.T. (W) CoS,"4,149",7,0.17,-0.33,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
46,95TH ST EL,OPEN,green,1,0,Past 7 days (4/22/2022 - 4/28/2022),796,1,0.13,-0.16,H.E.E.T. (W) CoS,"4,149",7,0.17,-0.33,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
47,96TH ST EL,OPEN,green,1,0,Past 7 days (4/22/2022 - 4/28/2022),637,1,0.16,0.16,Achievement NetworkCoS,"4,946",5,0.10,0.05,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
48,97TH ST EEC,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),54,1,1.85,-0.48,Fremont CoS,"12,055",23,0.19,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
49,99TH ST EL,OPEN,green,2,0,Past 7 days (4/22/2022 - 4/28/2022),523,2,0.38,0.17,Gardena CoS,"8,739",35,0.40,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
50,9TH ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),233,1,0.43,-0.48,(Blank),,(Bla…,(Bla…,(Bla…,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
51,ACAD ENRICH SCI MAG,OPEN,green,1,0,Past 7 days (4/22/2022 - 4/28/2022),330,3,0.91,-41.95,Reseda CoS,"10,373",50,0.48,-0.07,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
52,ADAMS MS,OPEN,green,2,0,Past 7 days (4/22/2022 - 4/28/2022),850,2,0.24,-0.17,(Blank),,(Bla…,(Bla…,(Bla…,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
53,ADDAMS HS,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),93,0,0.00,0.00,Kennedy/NAHS/VAASCoS,"13,677",71,0.52,-0.03,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
54,AGGELER HS,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),44,0,0.00,0.00,Canoga Park/ChatsworthCoS,"13,103",100,0.76,-0.08,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
55,ALBION ST EEC,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),64,0,0.00,0.00,Lincoln Heights/El SerenoCoS,"11,328",26,0.23,-0.30,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
56,ALBION ST EL,OPEN,green,0,0,Past 7 days (4/22/2022 - 4/28/2022),160,0,0.00,0.00,Lincoln Heights/El SerenoCoS,"11,328",26,0.23,-0.30,"452,782",1848,0.41,-0.15,"04/29/2022,",01:41AM
