Reporting Period,Number of Incarcerated in the Facility,Facility Name,Hospitalized,Staff Resolved,Deaths,Additional Information (Optional),Confirmed In Custody (Optional),Confirmed in First 14 Days (Optional),County,Confirmed at Intake (Optional),Staff Confirmed Positive,Total Number Tested,Estimated Resolved,Staff Tested,_id,Additional County Information,Total Confirmed Positive
2020-07-25T00:00:00,U,Santa Rita Jail,0,,0.0,,22,<11,Alameda,<11,,177,36,,1,,24
2020-07-25T00:00:00,,,,<11,,,,,Alameda,,<11,,,355,2,,
2020-08-01T00:00:00,"1,764",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,176,24,,3,,<11
2020-08-01T00:00:00,,,,<11,,,,,Alameda,,<11,,,<11,4,,
2020-08-08T00:00:00,"1,768",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,174,<11,,5,,<11
2020-08-08T00:00:00,,,,<11,,,,,Alameda,,0,,,0,6,,
2020-08-15T00:00:00,"1,794",Santa Rita Jail,0,,0.0,,<11,0,Alameda,0,,234,<11,,7,,<11
2020-08-15T00:00:00,,,,<11,,,,,Alameda,,0,,,0,8,,
2020-08-22T00:00:00,"1,789",Santa Rita Jail,0,,0.0,,<11,0,Alameda,<11,,197,<11,,9,,<11
2020-08-22T00:00:00,,,,0,,,,,Alameda,,0,,,0,10,,
2020-08-29T00:00:00,"1,802",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,0,,277,0,,11,,<11
2020-08-29T00:00:00,,,,<11,,,,,Alameda,,<11,,,<11,12,,
2020-09-05T00:00:00,"1,820",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,165,<11,,13,,<11
2020-09-05T00:00:00,,,,0,,,,,Alameda,,0,,,0,14,,
2020-09-12T00:00:00,"1,857",Santa Rita Jail,0,,0.0,,0,0,Alameda,0,,177,<11,,15,,0
2020-09-12T00:00:00,,,,<11,,,,,Alameda,,0,,,0,16,,
2020-09-19T00:00:00,"1,821",Santa Rita Jail,0,,0.0,,<11,0,Alameda,0,,211,<11,,17,,<11
2020-09-19T00:00:00,,,,0,,,,,Alameda,,0,,,0,18,,
2020-09-26T00:00:00,"1,829",Santa Rita Jail,0,,0.0,,13,0,Alameda,0,,254,<11,,19,,13
2020-09-26T00:00:00,,,,0,,,,,Alameda,,0,,,0,20,,
2020-10-03T00:00:00,"1,848",Santa Rita Jail,0,,0.0,,<11,0,Alameda,0,,191,16,,21,,<11
2020-10-03T00:00:00,,,,<11,,,,,Alameda,,0,,,0,22,,
2020-10-10T00:00:00,"1,916",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,148,<11,,23,,<11
2020-10-10T00:00:00,,,,0,,,,,Alameda,,0,,,0,24,,
2020-10-17T00:00:00,"1,985",Santa Rita Jail,0,,0.0,,0,0,Alameda,0,,200,<11,,25,,0
2020-10-17T00:00:00,,,,0,,,,,Alameda,,0,,,<11,26,,
2020-10-24T00:00:00,"2,015",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,161,0,,27,,<11
2020-10-24T00:00:00,,,,0,,,,,Alameda,,0,,,<11,28,,
2020-10-31T00:00:00,"2,009",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,214,0,,29,,<11
2020-10-31T00:00:00,,,,0,,,,,Alameda,,0,,,<11,30,,
2020-11-07T00:00:00,"2,031",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,283,0,,31,,<11
2020-11-07T00:00:00,,,,0,,,,,Alameda,,0,,,0,32,,
2020-11-14T00:00:00,"2,033",Santa Rita Jail,0,,0.0,,0,0,Alameda,0,,162,0,,33,,0
2020-11-14T00:00:00,,,,0,,,,,Alameda,,<11,,,<11,34,,
2020-11-21T00:00:00,"2,043",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,155,<11,,35,,<11
2020-11-21T00:00:00,,,,0,,,,,Alameda,,<11,,,<11,36,,
2020-11-28T00:00:00,"2,086",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,146,<11,,37,,<11
2020-11-28T00:00:00,,,,<11,,,,,Alameda,,<11,,,<11,38,,
2020-12-05T00:00:00,"2,078",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,136,<11,,39,,<11
2020-12-05T00:00:00,,,,0,,,,,Alameda,,<11,,,11,40,,
2020-12-12T00:00:00,"2,067",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,187,<11,,41,,<11
2020-12-12T00:00:00,,,,<11,,,,,Alameda,,<11,,,<11,42,,
2020-12-19T00:00:00,"2,047",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,164,<11,,43,,<11
2020-12-19T00:00:00,,,,,,,,,Alameda,,,,,No Data Reported,44,,
2020-12-26T00:00:00,"2,020",Santa Rita Jail,0,,0.0,,52,<11,Alameda,<11,,225,<11,,45,,<11
2020-12-26T00:00:00,,,,<11,,,,,Alameda,,13,,,93,46,,
2021-01-02T00:00:00,"2,034",Santa Rita Jail,0,,0.0,,71,<11,Alameda,<11,,298,35,,47,,75
2021-01-02T00:00:00,,,,,,,,,Alameda,,,,,No Data Reported,48,,
2021-01-09T00:00:00,"2,008",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,197,76,,49,,<11
2021-01-09T00:00:00,,,,<11,,,,,Alameda,,<11,,,13,50,,
2021-01-16T00:00:00,"1,986",Santa Rita Jail,0,,0.0,,<11,11,Alameda,0,,240,14,,51,,13
2021-01-16T00:00:00,,,,<11,,,,,Alameda,,<11,,,<11,52,,
2021-01-23T00:00:00,"1,939",Santa Rita Jail,0,,0.0,,62,<11,Alameda,<11,,524,<11,,53,,65
2021-01-23T00:00:00,,,,0,,,,,Alameda,,<11,,,<11,54,,
2021-01-30T00:00:00,"2,041",Santa Rita Jail,0,,0.0,,16,<11,Alameda,<11,,299,49,,55,,19
2021-01-30T00:00:00,,,,<11,,,,,Alameda,,<11,,,<11,56,,
2021-02-06T00:00:00,"2,048",Santa Rita Jail,0,,0.0,,16,<11,Alameda,<11,,458,35,,57,,14
2021-02-06T00:00:00,,,,<11,,,,,Alameda,,<11,,,<11,58,,
2021-02-13T00:00:00,"2,050",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,260,14,,59,,<11
2021-02-13T00:00:00,,,,<11,,,,,Alameda,,<11,,,<11,60,,
2021-02-20T00:00:00,"2,066",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,358,<11,,61,,<11
2021-02-20T00:00:00,,,,<11,,,,,Alameda,,<11,,,<11,62,,
2021-02-27T00:00:00,"2,088",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,220,<11,,63,,<11
2021-02-27T00:00:00,,,,<11,,,,,Alameda,,0,,,0,64,,
2021-03-06T00:00:00,"2,219",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,390,<11,,65,,<11
2021-03-06T00:00:00,,,,0,,,,,Alameda,,<11,,,<11,66,,
2021-03-13T00:00:00,"2,085",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,222,<11,,67,,<11
2021-03-13T00:00:00,,,,0,,,,,Alameda,,0,,,0,68,,
2021-03-20T00:00:00,"2,092",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,354,<11,,69,,<11
2021-03-20T00:00:00,,,,0,,,,,Alameda,,0,,,0,70,,
2021-03-27T00:00:00,"2,092",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,354,0,,71,,<11
2021-03-27T00:00:00,,,,0,,,,,Alameda,,0,,,216,72,,
2021-04-03T00:00:00,"2,043",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,428,<11,,73,,<11
2021-04-03T00:00:00,,,,0,,,,,Alameda,,0,,,423,74,,
2021-04-10T00:00:00,"2,027",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,302,<11,,75,,<11
2021-04-10T00:00:00,,,,0,,,,,Alameda,,0,,,481,76,,
2021-04-17T00:00:00,"2,015",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,283,0,,77,,<11
2021-04-17T00:00:00,,,,0,,,,,Alameda,,0,,,351,78,,
2021-04-24T00:00:00,"2,015",Santa Rita Jail,0,,0.0,,0,0,Alameda,0,,279,0,,79,,0
2021-04-24T00:00:00,,,,0,,,,,Alameda,,0,,,483,80,,
2021-05-01T00:00:00,"2,037",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,191,<11,,81,,<11
2021-05-01T00:00:00,,,,0,,,,,Alameda,,<11,,,351,82,,
2021-05-08T00:00:00,"1,975",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,325,<11,,83,,<11
2021-05-08T00:00:00,,,,0,,,,,Alameda,,<11,,,417,84,,
2021-05-15T00:00:00,"1,994",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,218,<11,,85,,<11
2021-05-15T00:00:00,,,,0,,,,,Alameda,,<11,,,312,86,,
2021-05-22T00:00:00,"1,984",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,358,<11,,87,,<11
2021-05-22T00:00:00,,,,0,,,,,Alameda,,<11,,,468,88,,
2021-05-29T00:00:00,"1,977",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,255,<11,,89,,<11
2021-05-29T00:00:00,,,,0,,,,,Alameda,,<11,,,408,90,,
2021-06-05T00:00:00,"1,981",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,388,<11,,91,,<11
2021-06-05T00:00:00,,,,0,,,,,Alameda,,<11,,,359,92,,
2021-06-12T00:00:00,"1,938",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,367,<11,,93,,<11
2021-06-12T00:00:00,,,,0,,,,,Alameda,,<11,,,496,94,,
2021-06-19T00:00:00,"1,958",Santa Rita Jail,0,,0.0,,0,0,Alameda,0,,299,0,,95,,0
2021-06-19T00:00:00,,,,<11,,,,,Alameda,,<11,,,427,96,,
2021-06-26T00:00:00,"1,928",Santa Rita Jail,0,,0.0,,0,0,Alameda,0,,259,0,,97,,0
2021-06-26T00:00:00,,,,<11,,,,,Alameda,,<11,,,526,98,,
2021-07-03T00:00:00,,No Data Reported,,,,,,,Alameda,,,,,,99,,
2021-07-03T00:00:00,,,,,,,,,Alameda,,,,,No Data Reported,100,,
2021-07-10T00:00:00,"1,930",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,324,<11,,101,,<11
2021-07-10T00:00:00,,,,0,,,,,Alameda,,<11,,,433,102,,
2021-07-17T00:00:00,"1,928",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,313,<11,,103,,<11
2021-07-17T00:00:00,,,,0,,,,,Alameda,,<11,,,475,104,,
2021-07-24T00:00:00,"1,917",Santa Rita Jail,0,,0.0,,0,<11,Alameda,<11,,294,<11,,105,,<11
2021-07-24T00:00:00,,,,0,,,,,Alameda,,0,,,493,106,,
2021-07-31T00:00:00,"1,911",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,295,<11,,107,,<11
2021-07-31T00:00:00,,,,0,,,,,Alameda,,<11,,,625,108,,
2021-08-07T00:00:00,"1,913",Santa Rita Jail,0,,0.0,,,,Alameda,,,239,<11,,109,,0
2021-08-07T00:00:00,,,,0,,,,,Alameda,,14,,,350,110,,
2021-08-14T00:00:00,"1,920",Santa Rita Jail,0,,0.0,,,,Alameda,,,327,<11,,111,,<11
2021-08-14T00:00:00,,,,<11,,,,,Alameda,,11,,,682,112,,
2021-08-21T00:00:00,"1,952",Santa Rita Jail,0,,0.0,,17,<11,Alameda,<11,,382,<11,,113,,20
2021-08-21T00:00:00,,,,<11,,,,,Alameda,,<11,,,298,114,,
2021-08-21T00:00:00,,,,<11,,,,,Alameda,,<11,,,<11,115,,
2021-08-28T00:00:00,"1,985",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,372,17,,116,,<11
2021-08-28T00:00:00,,,,<11,,,,,Alameda,,<11,,,553,117,,
2021-09-04T00:00:00,"1,996",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,526,<11,,118,,15
2021-09-04T00:00:00,,,,<11,,,,,Alameda,,<11,,,563,119,,
2021-09-11T00:00:00,"2,008",Santa Rita Jail,0,,0.0,,43,<11,Alameda,<11,,386,14,,120,,45
2021-09-11T00:00:00,,,,<11,,,,,Alameda,,<11,,,559,121,,
2021-09-18T00:00:00,"2,016",Santa Rita Jail,0,,0.0,,<11,<11,Alameda,<11,,227,36,,122,,11
2021-09-18T00:00:00,,,,<11,,,,,Alameda,,<11,,,515,123,,
2021-09-25T00:00:00,,No Data Reported,,,,,,,Alameda,,,,,,124,,
2021-09-25T00:00:00,,,,<11,,,,,Alameda,,0,,,82,125,,
