county,area,county_date,confirmed_cases
Alameda,94502: Alameda,2021-09-01,339
Alameda,94706: Albany,2021-09-01,466
Alameda,94709: Berkeley,2021-09-01,229
Alameda,94710: Berkeley,2021-09-01,666
Alameda,94587: Union City,2021-09-01,4682
Alameda,94577: San Leandro,2021-09-01,3640
Alameda,94605: Oakland,2021-09-01,3644
Alameda,94606: Oakland,2021-09-01,2764
Alameda,94608: Emeryville,2021-09-01,1711
Alameda,94610: Oakland,2021-09-01,1052
Alameda,94702: Berkeley,2021-09-01,721
Alameda,94703: Berkeley,2021-09-01,805
Alameda,94704: Berkeley,2021-09-01,1136
Alameda,94705: Berkeley,2021-09-01,391
Alameda,94720: Berkeley,2021-09-01,217
Alameda,94568: Dublin,2021-09-01,3098
Alameda,94707: Berkeley,2021-09-01,182
Alameda,94501: Alameda,2021-09-01,2800
Alameda,94619: Oakland,2021-09-01,1501
Alameda,94607: Oakland,2021-09-01,1997
Alameda,94609: Oakland,2021-09-01,1391
Alameda,94612: Oakland,2021-09-01,991
Alameda,94618: Oakland,2021-09-01,375
Alameda,94601: Oakland,2021-09-01,6822
Alameda,94602: Oakland,2021-09-01,1574
Alameda,94611: Oakland,2021-09-01,1194
Alameda,94603: Oakland,2021-09-01,5189
Alameda,94621: Oakland,2021-09-01,4956
Alameda,94588: Pleasanton,2021-09-01,1233
Alameda,94536: Fremont,2021-09-01,3291
Alameda,94555: Fremont,2021-09-01,1189
Alameda,94551: Livermore,2021-09-01,2840
Alameda,94566: Pleasanton,2021-09-01,1811
Alameda,94550: Livermore,2021-09-01,2855
Alameda,94541: Hayward,2021-09-01,7170
Alameda,94542: Hayward,2021-09-01,891
Alameda,94544: Hayward,2021-09-01,8733
Alameda,94545: Hayward,2021-09-01,2797
Alameda,94552: Castro Valley,2021-09-01,524
Alameda,94578: San Leandro,2021-09-01,3694
Alameda,94579: San Leandro,2021-09-01,1430
Alameda,94580: San Lorenzo,2021-09-01,2398
Alameda,94546: Castro Valley,2021-09-01,2379
Alameda,94560: Newark,2021-09-01,3164
Alameda,94538: Fremont,2021-09-01,3566
Alameda,94708: Berkeley,2021-09-01,139
Alameda,94539: Fremont,2021-09-01,1413
Alameda,94586: Sunol,2021-09-01,41
Alameda,95391: Mountain House,2021-09-01,1
Alameda,94613: Oakland,2021-09-01,4
Alameda,94514: Byron,2021-09-01,1
Alameda,94505: Discovery Bay,2021-09-01,1
Alameda,95377: Tracy,2021-09-01,1
