county,area,date,confirmed_cases
Alameda,94501: Alameda,2020-02-28,0
Alameda,94555: Fremont,2020-02-28,0
Alameda,94545: Hayward,2020-02-28,<10
Alameda,94586: Sunol,2020-02-28,0
Alameda,94546: Castro Valley,2020-02-28,0
Alameda,94706: Albany,2020-02-28,0
Alameda,94542: Hayward,2020-02-28,0
Alameda,94703: Berkeley,2020-02-28,<10
Alameda,94720: Berkeley,2020-02-28,0
Alameda,94588: Pleasanton,2020-02-28,0
Alameda,94568: Dublin,2020-02-28,0
Alameda,94551: Livermore,2020-02-28,0
Alameda,94610: Oakland,2020-02-28,0
Alameda,94621: Oakland,2020-02-28,0
Alameda,94601: Oakland,2020-02-28,0
Alameda,94603: Oakland,2020-02-28,0
Alameda,94705: Berkeley,2020-02-28,0
Alameda,94544: Hayward,2020-02-28,0
Alameda,94605: Oakland,2020-02-28,0
Alameda,94587: Union City,2020-02-28,0
Alameda,94613: Oakland,2020-02-28,0
Alameda,94560: Newark,2020-02-28,0
Alameda,94566: Pleasanton,2020-02-28,0
Alameda,94612: Oakland,2020-02-28,0
Alameda,94611: Oakland,2020-02-28,0
Alameda,94577: San Leandro,2020-02-28,0
Alameda,94606: Oakland,2020-02-28,0
Alameda,94708: Berkeley,2020-02-28,0
Alameda,94709: Berkeley,2020-02-28,0
Alameda,94538: Fremont,2020-02-28,0
Alameda,94552: Castro Valley,2020-02-28,0
Alameda,94619: Oakland,2020-02-28,0
Alameda,94579: San Leandro,2020-02-28,0
Alameda,94608: Emeryville,2020-02-28,<10
Alameda,94602: Oakland,2020-02-28,0
Alameda,94607: Oakland,2020-02-28,0
Alameda,94580: San Lorenzo,2020-02-28,0
Alameda,94550: Livermore,2020-02-28,0
Alameda,94618: Oakland,2020-02-28,0
Alameda,94539: Fremont,2020-02-28,0
Alameda,94702: Berkeley,2020-02-28,0
Alameda,94704: Berkeley,2020-02-28,0
Alameda,94541: Hayward,2020-02-28,0
Alameda,94609: Oakland,2020-02-28,0
Alameda,94536: Fremont,2020-02-28,0
Alameda,94707: Berkeley,2020-02-28,0
Alameda,94578: San Leandro,2020-02-28,0
Alameda,94710: Berkeley,2020-02-28,0
Alameda,94502: Alameda,2020-02-28,0
Alameda,94702: Berkeley,2020-02-29,0
Alameda,94555: Fremont,2020-02-29,0
Alameda,94545: Hayward,2020-02-29,0
Alameda,94560: Newark,2020-02-29,0
Alameda,94502: Alameda,2020-02-29,0
Alameda,94602: Oakland,2020-02-29,0
Alameda,94613: Oakland,2020-02-29,0
Alameda,94603: Oakland,2020-02-29,0
Alameda,94550: Livermore,2020-02-29,0
Alameda,94703: Berkeley,2020-02-29,0
Alameda,94588: Pleasanton,2020-02-29,0
Alameda,94546: Castro Valley,2020-02-29,0
Alameda,94618: Oakland,2020-02-29,0
Alameda,94611: Oakland,2020-02-29,0
Alameda,94538: Fremont,2020-02-29,0
Alameda,94579: San Leandro,2020-02-29,0
Alameda,94608: Emeryville,2020-02-29,0
Alameda,94607: Oakland,2020-02-29,0
Alameda,94580: San Lorenzo,2020-02-29,0
