county,area,county_date,confirmed_cases
Calaveras,"95221, 95222",2022-02-17,994
Calaveras,95223,2022-02-17,365
Calaveras,95225,2022-02-17,96
Calaveras,95228,2022-02-17,787
Calaveras,"95232, 95245",2022-02-17,281
Calaveras,"95246, 95250",2022-02-17,148
Calaveras,"95233, 95224, 95247, 95251, 95229",2022-02-17,830
Calaveras,95249,2022-02-17,717
Calaveras,"95226, 95252",2022-02-17,2414
Calaveras,95254,2022-02-17,82
Calaveras,"95255, 95257, 95248",2022-02-17,302
Calaveras,Other,2022-02-17,53
Calaveras,Unknown,2022-02-17,5
