county,area,confirmed_cases,county_date
Contra Costa,Alamo,467,2021-04-11
Contra Costa,Antioch,9197,2021-04-11
Contra Costa,Bay Point,2684,2021-04-11
Contra Costa,Bethel Island,66,2021-04-11
Contra Costa,Brentwood,3653,2021-04-11
Contra Costa,Byron,100,2021-04-11
Contra Costa,Clayton,395,2021-04-11
Contra Costa,Concord*,7767,2021-04-11
Contra Costa,Crockett*,124,2021-04-11
Contra Costa,Danville*,1566,2021-04-11
Contra Costa,Diablo,36,2021-04-11
Contra Costa,Discovery Bay,815,2021-04-11
Contra Costa,El Cerrito,685,2021-04-11
Contra Costa,El Sobrante,1184,2021-04-11
Contra Costa,Hercules,1217,2021-04-11
Contra Costa,Kensington,45,2021-04-11
Contra Costa,Knightsen,23,2021-04-11
Contra Costa,Lafayette,601,2021-04-11
Contra Costa,Martinez*,1904,2021-04-11
Contra Costa,Moraga,314,2021-04-11
Contra Costa,Oakley,3033,2021-04-11
Contra Costa,Orinda,405,2021-04-11
Contra Costa,Pacheco,227,2021-04-11
Contra Costa,Pinole,1099,2021-04-11
Contra Costa,Pittsburg,6594,2021-04-11
Contra Costa,Pleasant Hill*,1163,2021-04-11
Contra Costa,Richmond*,10018,2021-04-11
Contra Costa,Rodeo,566,2021-04-11
Contra Costa,San Pablo*,5116,2021-04-11
Contra Costa,San Ramon*,1996,2021-04-11
Contra Costa,Walnut Creek*,2751,2021-04-11
Contra Costa,Other/Unspecified,558,2021-04-11
