county,area,confirmed_cases,Total Deaths,LTCF Deaths,Non-LTCF Deaths,county_date
Contra Costa,Alamo,1634,7,1,6,2022-05-07
Contra Costa,Antioch,26072,191,37,154,2022-05-07
Contra Costa,Bay Point,6331,35,2,33,2022-05-07
Contra Costa,Bethel Island,268,3,1,2,2022-05-07
Contra Costa,Brentwood,11838,77,14,63,2022-05-07
Contra Costa,Byron,254,1,0,1,2022-05-07
Contra Costa,Clayton,1479,11,2,9,2022-05-07
Contra Costa,Concord*,21253,185,99,86,2022-05-07
Contra Costa,Crockett*,470,1,1,0,2022-05-07
Contra Costa,Danville*,6093,31,16,15,2022-05-07
Contra Costa,Diablo,110,0,0,0,2022-05-07
Contra Costa,Discovery Bay,2475,14,1,13,2022-05-07
Contra Costa,El Cerrito,2725,19,7,12,2022-05-07
Contra Costa,Hercules,4239,20,1,19,2022-05-07
Contra Costa,Kensington,321,1,0,1,2022-05-07
Contra Costa,Knightsen,74,0,0,0,2022-05-07
Contra Costa,Lafayette,2510,7,3,4,2022-05-07
Contra Costa,Martinez*,6568,36,9,27,2022-05-07
Contra Costa,Moraga,1349,6,3,3,2022-05-07
Contra Costa,Oakley,9831,66,5,61,2022-05-07
Contra Costa,Orinda,1742,18,9,9,2022-05-07
Contra Costa,Pacheco,689,2,0,2,2022-05-07
Contra Costa,Pinole,3327,10,0,10,2022-05-07
Contra Costa,Pittsburg,16931,109,20,89,2022-05-07
Contra Costa,Pleasant Hill*,4493,40,28,12,2022-05-07
Contra Costa,Richmond*,28731,175,11,164,2022-05-07
Contra Costa,Rodeo,1881,6,0,6,2022-05-07
Contra Costa,San Pablo*,12223,71,15,56,2022-05-07
Contra Costa,San Ramon*,8807,31,9,22,2022-05-07
Contra Costa,Walnut Creek*,10081,118,74,44,2022-05-07
Contra Costa,Other/Unspecified,2316,10,5,5,2022-05-07
