county,area,date,confirmed_cases
El Dorado,"Camino, Pollock Pines, Kyburz",2020-11-30,106
El Dorado,El Dorado Hills,2020-11-30,670
El Dorado,"El Dorado, Diamond Springs",2020-11-30,77
El Dorado,North County,2020-11-30,85
El Dorado,Greater Placerville Area,2020-11-30,270
El Dorado,"Shingle Springs, Cameron Park, Rescue",2020-11-30,351
El Dorado,South County,2020-11-30,24
El Dorado,Tahoe Region,2020-11-30,950
El Dorado,"Camino, Pollock Pines, Kyburz",2020-11-27,98
El Dorado,El Dorado Hills,2020-11-27,628
El Dorado,"El Dorado, Diamond Springs",2020-11-27,70
El Dorado,North County,2020-11-27,78
El Dorado,Greater Placerville Area,2020-11-27,252
El Dorado,"Shingle Springs, Cameron Park, Rescue",2020-11-27,322
El Dorado,South County,2020-11-27,23
El Dorado,Tahoe Region,2020-11-27,830
El Dorado,"Camino, Pollock Pines, Kyburz",2020-11-24,83
El Dorado,El Dorado Hills,2020-11-24,551
El Dorado,"El Dorado, Diamond Springs",2020-11-24,60
El Dorado,North County,2020-11-24,66
El Dorado,Greater Placerville Area,2020-11-24,239
El Dorado,"Shingle Springs, Cameron Park, Rescue",2020-11-24,281
El Dorado,South County,2020-11-24,19
El Dorado,Tahoe Region,2020-11-24,775
El Dorado,"Camino, Pollock Pines, Kyburz",2020-11-23,80
El Dorado,El Dorado Hills,2020-11-23,528
El Dorado,"El Dorado, Diamond Springs",2020-11-23,58
El Dorado,North County,2020-11-23,62
El Dorado,Greater Placerville Area,2020-11-23,235
El Dorado,"Shingle Springs, Cameron Park, Rescue",2020-11-23,274
El Dorado,South County,2020-11-23,19
El Dorado,Tahoe Region,2020-11-23,740
El Dorado,"Camino, Pollock Pines, Kyburz",2020-11-20,77
El Dorado,El Dorado Hills,2020-11-20,510
El Dorado,"El Dorado, Diamond Springs",2020-11-20,57
El Dorado,North County,2020-11-20,58
El Dorado,Greater Placerville Area,2020-11-20,225
El Dorado,"Shingle Springs, Cameron Park, Rescue",2020-11-20,260
