county,area,confirmed_cases,county_date
Fresno,Fresno,168563,2022-11-21
Fresno,Clovis,27824,2022-11-21
Fresno,Sanger,11904,2022-11-21
Fresno,Selma,10539,2022-11-21
Fresno,Reedley,8770,2022-11-21
Fresno,Coalinga,7551,2022-11-21
Fresno,Kerman,6012,2022-11-21
Fresno,Parlier,5784,2022-11-21
Fresno,Mendota,3595,2022-11-21
Fresno,Kingsburg,3535,2022-11-21
Fresno,Orange Cove,3509,2022-11-21
Fresno,Fowler,2674,2022-11-21
Fresno,Firebaugh,2605,2022-11-21
Fresno,Riverdale,1870,2022-11-21
Fresno,Huron,1824,2022-11-21
Fresno,Caruthers,1545,2022-11-21
Fresno,San Joaquin,1195,2022-11-21
Fresno,Laton,868,2022-11-21
Fresno,Del Rey,756,2022-11-21
Fresno,Biola,462,2022-11-21
Fresno,Squaw Valley,417,2022-11-21
Fresno,Auberry,381,2022-11-21
Fresno,Friant,311,2022-11-21
Fresno,Cantua Creek,305,2022-11-21
Fresno,Tollhouse,293,2022-11-21
Fresno,Tranquillity,273,2022-11-21
Fresno,Prather,194,2022-11-21
Fresno,Five Points,152,2022-11-21
Fresno,Raisin,149,2022-11-21
Fresno,Dinuba,124,2022-11-21
Fresno,Dos Palos,101,2022-11-21
Fresno,Dunlap,85,2022-11-21
