county,area,confirmed_cases,county_date,zip
Humboldt,95511: Alderpoint,0-5,2020-12-28,95511
Humboldt,95521: Arcata,356,2020-12-28,95521
Humboldt,95524: Bayside,22,2020-12-28,95524
Humboldt,95514: Blocksburg,0-5,2020-12-28,95514
Humboldt,95525: Blue Lake,10,2020-12-28,95525
Humboldt,95526: Bridgeville,0-5,2020-12-28,95526
Humboldt,95528: Carlotta,6,2020-12-28,95528
Humboldt,95501: Eureka,298,2020-12-28,95501
Humboldt,95503: Eureka,288,2020-12-28,95503
Humboldt,95536: Ferndale,19,2020-12-28,95536
Humboldt,95537: Fields Landing,6,2020-12-28,95537
Humboldt,95540: Fortuna,136,2020-12-28,95540
Humboldt,95542: Garberville,11,2020-12-28,95542
Humboldt,95545: Honeydew,0-5,2020-12-28,95545
Humboldt,95546: Hoopa,112,2020-12-28,95546
Humboldt,95547: Hydesville,13,2020-12-28,95547
Humboldt,95549: Kneeland,16,2020-12-28,95549
Humboldt,95550: Korbel,0-5,2020-12-28,95550
Humboldt,95551: Loleta,17,2020-12-28,95551
Humboldt,95519: Mckinleyville,173,2020-12-28,95519
Humboldt,95553: Miranda,6,2020-12-28,95553
Humboldt,95554: Myers Flat,8,2020-12-28,95554
Humboldt,95555: Orick,0-5,2020-12-28,95555
Humboldt,95556: Orleans,0-5,2020-12-28,95556
Humboldt,95558: Petrolia,0-5,2020-12-28,95558
Humboldt,95559: Phillipsville,0-5,2020-12-28,95559
Humboldt,95569: Redcrest,0-5,2020-12-28,95569
Humboldt,95560: Redway,37,2020-12-28,95560
Humboldt,95562: Rio Dell,32,2020-12-28,95562
Humboldt,95564: Samoa,0-5,2020-12-28,95564
Humboldt,95565: Scotia,7,2020-12-28,95565
Humboldt,95570: Trinidad,14,2020-12-28,95570
Humboldt,95571: Weott,0-5,2020-12-28,95571
Humboldt,95589: Whitethorn,0-5,2020-12-28,95589
Humboldt,95573: Willow Creek,10,2020-12-28,95573
