county,city,confirmed_cases,county_date,zip
Imperial,Unknown,167,2021-05-27,UNKNOWN
Imperial,92004: Borrego Springs,0,2021-05-27,92004
Imperial,92222: Bard,9,2021-05-27,92222
Imperial,92227: Brawley,4375,2021-05-27,92227
Imperial,92231: Calexico,7389,2021-05-27,92231
Imperial,92233: Calipatria,554,2021-05-27,92233
Imperial,92243: El Centro,7318,2021-05-27,92243
Imperial,92244: El Centro,98,2021-05-27,92244
Imperial,92249: Heber,1167,2021-05-27,92249
Imperial,92250: Holtville,1073,2021-05-27,92250
Imperial,92251: Imperial,3024,2021-05-27,92251
Imperial,92257: Niland,110,2021-05-27,92257
Imperial,92259: Ocotillo,15,2021-05-27,92259
Imperial,92266: Palo Verde,8,2021-05-27,92266
Imperial,92273: Seeley,207,2021-05-27,92273
Imperial,92274: Thermal,527,2021-05-27,92274
Imperial,92275: Salton City,39,2021-05-27,92275
Imperial,92281: Westmorland,257,2021-05-27,92281
Imperial,92283: Winterhaven,327,2021-05-27,92283
