county,area,confirmed_cases,county_date,date
Kings,Avenal,0-4,,2020-04-24 00:00:00
Kings,Corcoran,5-9,,2020-04-24 00:00:00
Kings,Hanford,10-19,,2020-04-24 00:00:00
Kings,Lemoore,10-19,,2020-04-24 00:00:00
Kings,Unincorporated,0-4,,2020-04-24 00:00:00
Kings,Avenal,0-4,,2020-04-25 00:00:00
Kings,Corcoran,11,,2020-04-25 00:00:00
Kings,Hanford,17,,2020-04-25 00:00:00
Kings,Lemoore,19,,2020-04-25 00:00:00
Kings,Unincorporated,0-4,,2020-04-25 00:00:00
Kings,Avenal,5-9,,2020-04-26 00:00:00
Kings,Corcoran,14,,2020-04-26 00:00:00
Kings,Hanford,20,,2020-04-26 00:00:00
Kings,Lemoore,23,,2020-04-26 00:00:00
Kings,Unincorporated,0-4,,2020-04-26 00:00:00
Kings,Avenal,5-9,,2020-04-27 00:00:00
Kings,Corcoran,14,,2020-04-27 00:00:00
Kings,Hanford,20,,2020-04-27 00:00:00
Kings,Lemoore,23,,2020-04-27 00:00:00
Kings,Unincorporated,0-4,,2020-04-27 00:00:00
Kings,Avenal,5-9,,2020-04-28 00:00:00
Kings,Corcoran,15,,2020-04-28 00:00:00
Kings,Hanford,23,,2020-04-28 00:00:00
Kings,Lemoore,23,,2020-04-28 00:00:00
Kings,Unincorporated,0-4,,2020-04-28 00:00:00
Kings,Avenal,5-9,,2020-04-29 00:00:00
Kings,Corcoran,15,,2020-04-29 00:00:00
Kings,Hanford,29,,2020-04-29 00:00:00
Kings,Lemoore,24,,2020-04-29 00:00:00
Kings,Unincorporated,0-4,,2020-04-29 00:00:00
Kings,Avenal,5-9,,2020-04-30 00:00:00
Kings,Corcoran,18,,2020-04-30 00:00:00
Kings,Hanford,39,,2020-04-30 00:00:00
Kings,Lemoore,25,,2020-04-30 00:00:00
Kings,Unincorporated,5-9,,2020-04-30 00:00:00
Kings,Avenal,5-9,,2020-05-01 00:00:00
Kings,Corcoran,21,,2020-05-01 00:00:00
Kings,Hanford,54,,2020-05-01 00:00:00
Kings,Lemoore,28,,2020-05-01 00:00:00
Kings,Unincorporated,11,,2020-05-01 00:00:00
Kings,Avenal,5-9,,2020-05-02 00:00:00
Kings,Corcoran,23,,2020-05-02 00:00:00
Kings,Hanford,71,,2020-05-02 00:00:00
Kings,Lemoore,29,,2020-05-02 00:00:00
Kings,Unincorporated,14,,2020-05-02 00:00:00
Kings,Avenal,5-9,,2020-05-03 00:00:00
Kings,Corcoran,23,,2020-05-03 00:00:00
Kings,Hanford,81,,2020-05-03 00:00:00
Kings,Lemoore,29,,2020-05-03 00:00:00
Kings,Unincorporated,16,,2020-05-03 00:00:00
Kings,Avenal,9,,2020-05-04 00:00:00
Kings,Corcoran,26,,2020-05-04 00:00:00
Kings,Hanford,88,,2020-05-04 00:00:00
Kings,Lemoore,32,,2020-05-04 00:00:00
Kings,Unincorporated,17,,2020-05-04 00:00:00
Kings,Avenal,5-9,,2020-05-05 00:00:00
Kings,Corcoran,32,,2020-05-05 00:00:00
Kings,Hanford,100,,2020-05-05 00:00:00
Kings,Lemoore,35,,2020-05-05 00:00:00
Kings,Unincorporated,22,,2020-05-05 00:00:00
Kings,Avenal,10-19,,2020-05-06 00:00:00
Kings,Corcoran,32,,2020-05-06 00:00:00
Kings,Hanford,110,,2020-05-06 00:00:00
Kings,Lemoore,36,,2020-05-06 00:00:00
Kings,Unincorporated,23,,2020-05-06 00:00:00
Kings,Avenal,10-19,,2020-05-07 00:00:00
Kings,Corcoran,37,,2020-05-07 00:00:00
Kings,Hanford,123,,2020-05-07 00:00:00
Kings,Lemoore,39,,2020-05-07 00:00:00
Kings,Unincorporated,24,,2020-05-07 00:00:00
Kings,Avenal,11,,2020-05-08 00:00:00
Kings,Corcoran,38,,2020-05-08 00:00:00
Kings,Hanford,130,,2020-05-08 00:00:00
Kings,Lemoore,39,,2020-05-08 00:00:00
Kings,Unincorporated,26,,2020-05-08 00:00:00
Kings,Avenal,11,,2020-05-09 00:00:00
Kings,Corcoran,40,,2020-05-09 00:00:00
Kings,Hanford,145,,2020-05-09 00:00:00
Kings,Lemoore,41,,2020-05-09 00:00:00
Kings,Unincorporated,28,,2020-05-09 00:00:00
Kings,Avenal,11,,2020-05-10 00:00:00
Kings,Corcoran,40,,2020-05-10 00:00:00
Kings,Hanford,154,,2020-05-10 00:00:00
Kings,Lemoore,41,,2020-05-10 00:00:00
Kings,Unincorporated,29,,2020-05-10 00:00:00
Kings,Avenal,11,,2020-05-11 00:00:00
Kings,Corcoran,40,,2020-05-11 00:00:00
Kings,Hanford,183,,2020-05-11 00:00:00
Kings,Lemoore,52,,2020-05-11 00:00:00
Kings,Unincorporated,33,,2020-05-11 00:00:00
Kings,Avenal,11,,2020-05-12 00:00:00
Kings,Corcoran,40,,2020-05-12 00:00:00
Kings,Hanford,183,,2020-05-12 00:00:00
Kings,Lemoore,52,,2020-05-12 00:00:00
Kings,Unincorporated,33,,2020-05-12 00:00:00
Kings,Avenal,11,,2020-05-13 00:00:00
Kings,Corcoran,40,,2020-05-13 00:00:00
Kings,Hanford,182,,2020-05-13 00:00:00
Kings,Lemoore,55,,2020-05-13 00:00:00
Kings,Unincorporated,37,,2020-05-13 00:00:00
Kings,Avenal,12,,2020-05-14 00:00:00
Kings,Corcoran,41,,2020-05-14 00:00:00
Kings,Hanford,202,,2020-05-14 00:00:00
Kings,Lemoore,56,,2020-05-14 00:00:00
Kings,Unincorporated,37,,2020-05-14 00:00:00
Kings,Avenal,13,,2020-05-15 00:00:00
Kings,Corcoran,41,,2020-05-15 00:00:00
Kings,Hanford,209,,2020-05-15 00:00:00
Kings,Lemoore,57,,2020-05-15 00:00:00
Kings,Unincorporated,38,,2020-05-15 00:00:00
Kings,Avenal,14,,2020-05-16 00:00:00
Kings,Corcoran,41,,2020-05-16 00:00:00
Kings,Hanford,217,,2020-05-16 00:00:00
Kings,Lemoore,60,,2020-05-16 00:00:00
Kings,Unincorporated,40,,2020-05-16 00:00:00
Kings,Avenal,15,,2020-05-17 00:00:00
Kings,Corcoran,42,,2020-05-17 00:00:00
Kings,Hanford,226,,2020-05-17 00:00:00
Kings,Lemoore,67,,2020-05-17 00:00:00
Kings,Unincorporated,42,,2020-05-17 00:00:00
Kings,Avenal,15,,2020-05-18 00:00:00
Kings,Corcoran,43,,2020-05-18 00:00:00
Kings,Hanford,230,,2020-05-18 00:00:00
Kings,Lemoore,69,,2020-05-18 00:00:00
Kings,Unincorporated,42,,2020-05-18 00:00:00
Kings,Avenal,15,,2020-05-19 00:00:00
Kings,Corcoran,46,,2020-05-19 00:00:00
Kings,Hanford,236,,2020-05-19 00:00:00
Kings,Lemoore,72,,2020-05-19 00:00:00
Kings,Unincorporated,43,,2020-05-19 00:00:00
Kings,Avenal,41,,2020-05-20 00:00:00
Kings,Corcoran,47,,2020-05-20 00:00:00
Kings,Hanford,250,,2020-05-20 00:00:00
Kings,Lemoore,76,,2020-05-20 00:00:00
Kings,Unincorporated,43,,2020-05-20 00:00:00
Kings,Avenal,41,,2020-05-21 00:00:00
Kings,Corcoran,47,,2020-05-21 00:00:00
Kings,Hanford,250,,2020-05-21 00:00:00
Kings,Lemoore,76,,2020-05-21 00:00:00
Kings,Unincorporated,43,,2020-05-21 00:00:00
Kings,Avenal,56,,2020-05-22 00:00:00
Kings,Corcoran,47,,2020-05-22 00:00:00
Kings,Hanford,259,,2020-05-22 00:00:00
Kings,Lemoore,82,,2020-05-22 00:00:00
Kings,Unincorporated,44,,2020-05-22 00:00:00
Kings,Avenal,65,,2020-05-23 00:00:00
Kings,Corcoran,47,,2020-05-23 00:00:00
Kings,Hanford,263,,2020-05-23 00:00:00
Kings,Lemoore,85,,2020-05-23 00:00:00
Kings,Unincorporated,46,,2020-05-23 00:00:00
Kings,Avenal,67,,2020-05-24 00:00:00
Kings,Corcoran,48,,2020-05-24 00:00:00
Kings,Hanford,266,,2020-05-24 00:00:00
Kings,Lemoore,90,,2020-05-24 00:00:00
Kings,Unincorporated,46,,2020-05-24 00:00:00
Kings,Avenal,219,,2020-05-26 00:00:00
Kings,Corcoran,52,,2020-05-26 00:00:00
Kings,Hanford,274,,2020-05-26 00:00:00
Kings,Lemoore,97,,2020-05-26 00:00:00
Kings,Unincorporated,47,,2020-05-26 00:00:00
Kings,Avenal,221,,2020-05-27 00:00:00
Kings,Corcoran,53,,2020-05-27 00:00:00
Kings,Hanford,277,,2020-05-27 00:00:00
Kings,Lemoore,99,,2020-05-27 00:00:00
Kings,Unincorporated,48,,2020-05-27 00:00:00
Kings,Avenal,18,,2020-05-28 00:00:00
Kings,Corcoran,53,,2020-05-28 00:00:00
Kings,Hanford,277,,2020-05-28 00:00:00
Kings,Lemoore,90,,2020-05-28 00:00:00
Kings,Unincorporated,48,,2020-05-28 00:00:00
Kings,Avenal,18,,2020-05-29 00:00:00
Kings,Corcoran,54,,2020-05-29 00:00:00
Kings,Hanford,283,,2020-05-29 00:00:00
Kings,Lemoore,90,,2020-05-29 00:00:00
Kings,Unincorporated,48,,2020-05-29 00:00:00
Kings,Avenal,18,,2020-05-30 00:00:00
Kings,Corcoran,54,,2020-05-30 00:00:00
Kings,Hanford,286,,2020-05-30 00:00:00
Kings,Lemoore,92,,2020-05-30 00:00:00
Kings,Unincorporated,48,,2020-05-30 00:00:00
Kings,Avenal,18,,2020-05-31 00:00:00
Kings,Corcoran,54,,2020-05-31 00:00:00
Kings,Hanford,288,,2020-05-31 00:00:00
Kings,Lemoore,92,,2020-05-31 00:00:00
Kings,Unincorporated,48,,2020-05-31 00:00:00
Kings,Avenal,18,,2020-06-01 00:00:00
Kings,Corcoran,55,,2020-06-01 00:00:00
Kings,Hanford,290,,2020-06-01 00:00:00
Kings,Lemoore,92,,2020-06-01 00:00:00
Kings,Unincorporated,48,,2020-06-01 00:00:00
Kings,Avenal,20,,2020-06-02 00:00:00
Kings,Corcoran,57,,2020-06-02 00:00:00
Kings,Hanford,295,,2020-06-02 00:00:00
Kings,Lemoore,92,,2020-06-02 00:00:00
Kings,Unincorporated,51,,2020-06-02 00:00:00
Kings,Avenal,21,,2020-06-03 00:00:00
Kings,Corcoran,64,,2020-06-03 00:00:00
Kings,Hanford,308,,2020-06-03 00:00:00
Kings,Lemoore,93,,2020-06-03 00:00:00
Kings,Unincorporated,52,,2020-06-03 00:00:00
Kings,Avenal,20,,2020-06-04 00:00:00
Kings,Corcoran,69,,2020-06-04 00:00:00
Kings,Hanford,319,,2020-06-04 00:00:00
Kings,Lemoore,95,,2020-06-04 00:00:00
Kings,Unincorporated,53,,2020-06-04 00:00:00
Kings,Avenal,21,,2020-06-05 00:00:00
Kings,Corcoran,79,,2020-06-05 00:00:00
Kings,Hanford,352,,2020-06-05 00:00:00
Kings,Lemoore,95,,2020-06-05 00:00:00
Kings,Unincorporated,58,,2020-06-05 00:00:00
Kings,Avenal,22,,2020-06-07 00:00:00
Kings,Corcoran,88,,2020-06-07 00:00:00
Kings,Hanford,354,,2020-06-07 00:00:00
Kings,Lemoore,96,,2020-06-07 00:00:00
Kings,Unincorporated,60,,2020-06-07 00:00:00
Kings,Avenal,22,,2020-06-08 00:00:00
Kings,Corcoran,88,,2020-06-08 00:00:00
Kings,Hanford,354,,2020-06-08 00:00:00
Kings,Lemoore,96,,2020-06-08 00:00:00
Kings,Unincorporated,60,,2020-06-08 00:00:00
Kings,Avenal,24,,2020-06-09 00:00:00
Kings,Corcoran,93,,2020-06-09 00:00:00
Kings,Hanford,363,,2020-06-09 00:00:00
Kings,Lemoore,99,,2020-06-09 00:00:00
Kings,Unincorporated,62,,2020-06-09 00:00:00
Kings,Avenal,25,,2020-06-10 00:00:00
Kings,Corcoran,97,,2020-06-10 00:00:00
Kings,Hanford,375,,2020-06-10 00:00:00
Kings,Lemoore,107,,2020-06-10 00:00:00
Kings,Unincorporated,64,,2020-06-10 00:00:00
Kings,Avenal,28,,2020-06-11 00:00:00
Kings,Corcoran,98,,2020-06-11 00:00:00
Kings,Hanford,416,,2020-06-11 00:00:00
Kings,Lemoore,108,,2020-06-11 00:00:00
Kings,Unincorporated,64,,2020-06-11 00:00:00
Kings,Avenal,33,,2020-06-12 00:00:00
Kings,Corcoran,101,,2020-06-12 00:00:00
Kings,Hanford,423,,2020-06-12 00:00:00
Kings,Lemoore,117,,2020-06-12 00:00:00
Kings,Unincorporated,65,,2020-06-12 00:00:00
Kings,Avenal,34,,2020-06-13 00:00:00
Kings,Corcoran,105,,2020-06-13 00:00:00
Kings,Hanford,436,,2020-06-13 00:00:00
Kings,Lemoore,124,,2020-06-13 00:00:00
Kings,Unincorporated,71,,2020-06-13 00:00:00
Kings,Avenal,36,,2020-06-14 00:00:00
Kings,Corcoran,117,,2020-06-14 00:00:00
Kings,Hanford,450,,2020-06-14 00:00:00
Kings,Lemoore,132,,2020-06-14 00:00:00
Kings,Unincorporated,71,,2020-06-14 00:00:00
Kings,Avenal,37,,2020-06-16 00:00:00
Kings,Corcoran,130,,2020-06-16 00:00:00
Kings,Hanford,458,,2020-06-16 00:00:00
Kings,Lemoore,134,,2020-06-16 00:00:00
Kings,Unincorporated,72,,2020-06-16 00:00:00
Kings,Avenal,39,,2020-06-17 00:00:00
Kings,Corcoran,131,,2020-06-17 00:00:00
Kings,Hanford,466,,2020-06-17 00:00:00
Kings,Lemoore,140,,2020-06-17 00:00:00
Kings,Unincorporated,74,,2020-06-17 00:00:00
Kings,Avenal,42,,2020-06-18 00:00:00
Kings,Corcoran,139,,2020-06-18 00:00:00
Kings,Hanford,482,,2020-06-18 00:00:00
Kings,Lemoore,147,,2020-06-18 00:00:00
Kings,Unincorporated,75,,2020-06-18 00:00:00
Kings,Avenal,43,,2020-06-19 00:00:00
Kings,Corcoran,156,,2020-06-19 00:00:00
Kings,Hanford,489,,2020-06-19 00:00:00
Kings,Lemoore,152,,2020-06-19 00:00:00
Kings,Unincorporated,76,,2020-06-19 00:00:00
Kings,Avenal,47,,2020-06-20 00:00:00
Kings,Corcoran,161,,2020-06-20 00:00:00
Kings,Hanford,495,,2020-06-20 00:00:00
Kings,Lemoore,156,,2020-06-20 00:00:00
Kings,Unincorporated,77,,2020-06-20 00:00:00
Kings,Avenal,51,,2020-06-21 00:00:00
Kings,Corcoran,163,,2020-06-21 00:00:00
Kings,Hanford,513,,2020-06-21 00:00:00
Kings,Lemoore,158,,2020-06-21 00:00:00
Kings,Unincorporated,79,,2020-06-21 00:00:00
Kings,Avenal,52,,2020-06-22 00:00:00
Kings,Corcoran,177,,2020-06-22 00:00:00
Kings,Correctional facilities,1129,,2020-06-22 00:00:00
Kings,Hanford,436,,2020-06-22 00:00:00
Kings,Lemoore,173,,2020-06-22 00:00:00
Kings,Skilled nursing facilities,106,,2020-06-22 00:00:00
Kings,Unincorporated,85,,2020-06-22 00:00:00
Kings,Avenal,63,,2020-06-23 00:00:00
Kings,Corcoran,182,,2020-06-23 00:00:00
Kings,Correctional facilities,1129,,2020-06-23 00:00:00
Kings,Hanford,435,,2020-06-23 00:00:00
Kings,Lemoore,177,,2020-06-23 00:00:00
Kings,Skilled nursing facilities,115,,2020-06-23 00:00:00
Kings,Unincorporated,85,,2020-06-23 00:00:00
Kings,Avenal,73,,2020-06-24 00:00:00
Kings,Corcoran,191,,2020-06-24 00:00:00
Kings,Correctional facilities,1130,,2020-06-24 00:00:00
Kings,Hanford,450,,2020-06-24 00:00:00
Kings,Lemoore,187,,2020-06-24 00:00:00
Kings,Skilled nursing facilities,118,,2020-06-24 00:00:00
Kings,Unincorporated,85,,2020-06-24 00:00:00
Kings,Avenal,82,,2020-06-25 00:00:00
Kings,Corcoran,209,,2020-06-25 00:00:00
Kings,Correctional facilities,1131,,2020-06-25 00:00:00
Kings,Hanford,459,,2020-06-25 00:00:00
Kings,Lemoore,194,,2020-06-25 00:00:00
Kings,Skilled nursing facilities,118,,2020-06-25 00:00:00
Kings,Unincorporated,90,,2020-06-25 00:00:00
Kings,Avenal,84,,2020-06-26 00:00:00
Kings,Corcoran,212,,2020-06-26 00:00:00
Kings,Correctional facilities,1132,,2020-06-26 00:00:00
Kings,Hanford,462,,2020-06-26 00:00:00
Kings,Lemoore,199,,2020-06-26 00:00:00
Kings,Skilled nursing facilities,118,,2020-06-26 00:00:00
Kings,Unincorporated,91,,2020-06-26 00:00:00
Kings,Avenal,85,,2020-06-28 00:00:00
Kings,Corcoran,224,,2020-06-28 00:00:00
Kings,Correctional facilities,1132,,2020-06-28 00:00:00
Kings,Hanford,468,,2020-06-28 00:00:00
Kings,Lemoore,206,,2020-06-28 00:00:00
Kings,Skilled nursing facilities,128,,2020-06-28 00:00:00
Kings,Unincorporated,97,,2020-06-28 00:00:00
Kings,Avenal,85,,2020-06-29 00:00:00
Kings,Corcoran,224,,2020-06-29 00:00:00
Kings,Correctional facilities,1132,,2020-06-29 00:00:00
Kings,Hanford,478,,2020-06-29 00:00:00
Kings,Lemoore,206,,2020-06-29 00:00:00
Kings,Skilled nursing facilities,128,,2020-06-29 00:00:00
Kings,Unincorporated,97,,2020-06-29 00:00:00
Kings,Avenal,87,,2020-06-30 00:00:00
