county,area,confirmed_cases,county_date,zip
Long Beach,90806: Long Beach,5731,2021-02-04,90806
Long Beach,90805: Long Beach,12457,2021-02-04,90805
Long Beach,90813: Long Beach,7459,2021-02-04,90813
Long Beach,90810: Long Beach,4254,2021-02-04,90810
Long Beach,90804: Long Beach,4281,2021-02-04,90804
Long Beach,90802: Long Beach,3556,2021-02-04,90802
Long Beach,90807: Long Beach,2701,2021-02-04,90807
Long Beach,90815: Long Beach,2600,2021-02-04,90815
Long Beach,90808: Long Beach,2404,2021-02-04,90808
Long Beach,90814: Long Beach,1180,2021-02-04,90814
Long Beach,90803: Long Beach,1714,2021-02-04,90803
