county,area,confirmed_cases,confirmed_deaths,county_date
Los Angeles,City of Agoura Hills,1394,19,2021-09-29
Los Angeles,City of Alhambra,8049,216,2021-09-29
Los Angeles,City of Arcadia,3312,147,2021-09-29
Los Angeles,City of Artesia,2420,76,2021-09-29
Los Angeles,City of Avalon,31,0,2021-09-29
Los Angeles,City of Azusa,7302,126,2021-09-29
Los Angeles,City of Baldwin Park,14509,329,2021-09-29
Los Angeles,City of Bell,7478,125,2021-09-29
Los Angeles,City of Bell Gardens,9012,120,2021-09-29
Los Angeles,City of Bellflower,12791,211,2021-09-29
Los Angeles,City of Beverly Hills,3566,34,2021-09-29
Los Angeles,City of Bradbury,42,0,2021-09-29
Los Angeles,City of Burbank,10982,255,2021-09-29
Los Angeles,City of Calabasas,1731,34,2021-09-29
Los Angeles,City of Carson,11855,264,2021-09-29
Los Angeles,City of Cerritos,3676,60,2021-09-29
Los Angeles,City of Claremont,2768,57,2021-09-29
Los Angeles,City of Commerce*,2686,40,2021-09-29
Los Angeles,City of Compton,19437,273,2021-09-29
Los Angeles,City of Covina,7562,178,2021-09-29
Los Angeles,City of Cudahy,5339,65,2021-09-29
Los Angeles,City of Culver City,2867,113,2021-09-29
Los Angeles,City of Diamond Bar,3932,87,2021-09-29
Los Angeles,City of Downey,20179,317,2021-09-29
Los Angeles,City of Duarte,2724,99,2021-09-29
Los Angeles,City of El Monte,18895,451,2021-09-29
Los Angeles,City of El Segundo,1046,10,2021-09-29
Los Angeles,City of Gardena,7679,209,2021-09-29
Los Angeles,City of Glendale,24341,674,2021-09-29
Los Angeles,City of Glendora,5832,194,2021-09-29
Los Angeles,City of Hawaiian Gardens,2549,26,2021-09-29
Los Angeles,City of Hawthorne,12499,228,2021-09-29
Los Angeles,City of Hermosa Beach,1518,10,2021-09-29
Los Angeles,City of Hidden Hills,134,2,2021-09-29
Los Angeles,City of Huntington Park,12260,179,2021-09-29
Los Angeles,City of Industry,189,5,2021-09-29
Los Angeles,City of Inglewood,16588,338,2021-09-29
Los Angeles,City of Irwindale,298,7,2021-09-29
Los Angeles,City of La Canada Flintridge,1036,17,2021-09-29
Los Angeles,City of La Habra Heights,127,2,2021-09-29
Los Angeles,City of La Mirada,5275,124,2021-09-29
Los Angeles,City of La Puente,7436,126,2021-09-29
Los Angeles,City of La Verne,3486,60,2021-09-29
Los Angeles,City of Lakewood,9198,121,2021-09-29
Los Angeles,City of Lancaster*,27604,317,2021-09-29
Los Angeles,City of Lawndale,4226,57,2021-09-29
Los Angeles,City of Lomita,1903,42,2021-09-29
Los Angeles,City of Lynwood*,14760,248,2021-09-29
Los Angeles,City of Malibu,649,10,2021-09-29
Los Angeles,City of Manhattan Beach,2009,19,2021-09-29
Los Angeles,City of Maywood,5717,94,2021-09-29
Los Angeles,City of Monrovia,3931,82,2021-09-29
Los Angeles,City of Montebello,11399,232,2021-09-29
Los Angeles,City of Monterey Park,5523,204,2021-09-29
Los Angeles,City of Norwalk,18335,398,2021-09-29
Los Angeles,City of Palmdale,29083,349,2021-09-29
Los Angeles,City of Palos Verdes Estates,653,10,2021-09-29
Los Angeles,City of Paramount,11265,167,2021-09-29
Los Angeles,City of Pico Rivera,12420,280,2021-09-29
Los Angeles,City of Pomona,28718,489,2021-09-29
Los Angeles,City of Rancho Palos Verdes,2074,60,2021-09-29
Los Angeles,City of Redondo Beach,4017,56,2021-09-29
Los Angeles,City of Rolling Hills,79,2,2021-09-29
Los Angeles,City of Rolling Hills Estates,422,8,2021-09-29
Los Angeles,City of Rosemead,5509,162,2021-09-29
Los Angeles,City of San Dimas*,3909,100,2021-09-29
Los Angeles,City of San Fernando,5941,69,2021-09-29
Los Angeles,City of San Gabriel,3620,211,2021-09-29
Los Angeles,City of San Marino,463,11,2021-09-29
Los Angeles,City of Santa Clarita,26296,281,2021-09-29
Los Angeles,City of Santa Fe Springs,3316,47,2021-09-29
Los Angeles,City of Santa Monica,6510,186,2021-09-29
Los Angeles,City of Sierra Madre,606,13,2021-09-29
Los Angeles,City of Signal Hill,1427,10,2021-09-29
Los Angeles,City of South El Monte,3799,70,2021-09-29
Los Angeles,City of South Gate,20951,247,2021-09-29
Los Angeles,City of South Pasadena,1676,45,2021-09-29
Los Angeles,City of Temple City,2714,126,2021-09-29
Los Angeles,City of Torrance,9479,232,2021-09-29
Los Angeles,City of Vernon,135,0,2021-09-29
Los Angeles,City of Walnut,2115,41,2021-09-29
Los Angeles,City of West Covina,14983,283,2021-09-29
Los Angeles,City of West Hollywood,3547,43,2021-09-29
Los Angeles,City of Westlake Village,150,1,2021-09-29
Los Angeles,City of Whittier,12944,275,2021-09-29
Los Angeles,Los Angeles,594854,10349,2021-09-29
Los Angeles,Los Angeles - Adams-Normandie,1353,18,2021-09-29
Los Angeles,Los Angeles - Alsace,1832,21,2021-09-29
Los Angeles,Los Angeles - Angeles National Forest,5,0,2021-09-29
Los Angeles,Los Angeles - Angelino Heights,338,6,2021-09-29
Los Angeles,Los Angeles - Arleta,7802,122,2021-09-29
Los Angeles,Los Angeles - Atwater Village,1697,28,2021-09-29
Los Angeles,Los Angeles - Baldwin Hills,3532,76,2021-09-29
Los Angeles,Los Angeles - Bel Air,548,2,2021-09-29
Los Angeles,Los Angeles - Beverly Crest,872,6,2021-09-29
Los Angeles,Los Angeles - Beverlywood,1258,2,2021-09-29
Los Angeles,Los Angeles - Boyle Heights*,19135,318,2021-09-29
Los Angeles,Los Angeles - Brentwood,2088,20,2021-09-29
Los Angeles,Los Angeles - Brookside,46,2,2021-09-29
Los Angeles,Los Angeles - Cadillac-Corning,854,10,2021-09-29
Los Angeles,Los Angeles - Canoga Park,10821,177,2021-09-29
Los Angeles,Los Angeles - Carthay,1277,78,2021-09-29
Los Angeles,Los Angeles - Central,8325,134,2021-09-29
Los Angeles,Los Angeles - Century City,849,15,2021-09-29
Los Angeles,Los Angeles - Century Palms/Cove,7143,108,2021-09-29
Los Angeles,Los Angeles - Chatsworth,4508,86,2021-09-29
Los Angeles,Los Angeles - Cheviot Hills,646,8,2021-09-29
Los Angeles,Los Angeles - Chinatown,919,17,2021-09-29
Los Angeles,Los Angeles - Cloverdale/Cochran,1924,27,2021-09-29
Los Angeles,Los Angeles - Country Club Park,1819,82,2021-09-29
Los Angeles,Los Angeles - Crenshaw District,1829,31,2021-09-29
Los Angeles,Los Angeles - Crestview,1280,46,2021-09-29
Los Angeles,Los Angeles - Del Rey,2632,35,2021-09-29
Los Angeles,Los Angeles - Downtown*,5270,55,2021-09-29
Los Angeles,Los Angeles - Eagle Rock,4314,116,2021-09-29
Los Angeles,Los Angeles - East Hollywood,3724,121,2021-09-29
Los Angeles,Los Angeles - Echo Park,1652,22,2021-09-29
Los Angeles,Los Angeles - El Sereno,7018,114,2021-09-29
Los Angeles,Los Angeles - Elysian Park,639,4,2021-09-29
Los Angeles,Los Angeles - Elysian Valley,1472,28,2021-09-29
Los Angeles,Los Angeles - Encino,4476,69,2021-09-29
Los Angeles,Los Angeles - Exposition,437,7,2021-09-29
Los Angeles,Los Angeles - Exposition Park,7167,91,2021-09-29
Los Angeles,Los Angeles - Faircrest Heights,365,3,2021-09-29
Los Angeles,Los Angeles - Figueroa Park Square,1595,28,2021-09-29
Los Angeles,Los Angeles - Florence-Firestone,10384,131,2021-09-29
Los Angeles,Los Angeles - Glassell Park,3989,60,2021-09-29
Los Angeles,Los Angeles - Gramercy Place,1699,31,2021-09-29
Los Angeles,Los Angeles - Granada Hills,7998,198,2021-09-29
Los Angeles,Los Angeles - Green Meadows,4476,55,2021-09-29
Los Angeles,Los Angeles - Hancock Park,1387,7,2021-09-29
Los Angeles,Los Angeles - Harbor City,3173,40,2021-09-29
Los Angeles,Los Angeles - Harbor Gateway,5838,83,2021-09-29
Los Angeles,Los Angeles - Harbor Pines,219,1,2021-09-29
Los Angeles,Los Angeles - Harvard Heights,2853,72,2021-09-29
Los Angeles,Los Angeles - Harvard Park,8211,108,2021-09-29
Los Angeles,Los Angeles - Highland Park,6595,108,2021-09-29
Los Angeles,Los Angeles - Historic Filipinotown,2323,80,2021-09-29
Los Angeles,Los Angeles - Hollywood,7553,77,2021-09-29
Los Angeles,Los Angeles - Hollywood Hills,2277,27,2021-09-29
Los Angeles,Los Angeles - Hyde Park,4590,92,2021-09-29
Los Angeles,Los Angeles - Jefferson Park,1339,15,2021-09-29
Los Angeles,Los Angeles - Koreatown,6277,126,2021-09-29
Los Angeles,Los Angeles - Lafayette Square,627,10,2021-09-29
Los Angeles,Los Angeles - Lake Balboa,6425,71,2021-09-29
Los Angeles,Los Angeles - Lakeview Terrace,2633,42,2021-09-29
Los Angeles,Los Angeles - Leimert Park,2035,23,2021-09-29
Los Angeles,Los Angeles - Lincoln Heights,5744,179,2021-09-29
Los Angeles,Los Angeles - Little Armenia,1312,86,2021-09-29
Los Angeles,Los Angeles - Little Bangladesh,3206,33,2021-09-29
Los Angeles,Los Angeles - Little Tokyo,483,11,2021-09-29
Los Angeles,Los Angeles - Longwood,670,9,2021-09-29
Los Angeles,Los Angeles - Los Feliz,1478,28,2021-09-29
Los Angeles,Los Angeles - Manchester Square,1242,13,2021-09-29
Los Angeles,Los Angeles - Mandeville Canyon,200,1,2021-09-29
Los Angeles,Los Angeles - Mar Vista,2830,37,2021-09-29
Los Angeles,Los Angeles - Marina Peninsula,229,2,2021-09-29
Los Angeles,Los Angeles - Melrose,9909,219,2021-09-29
Los Angeles,Los Angeles - Mid-city,1508,46,2021-09-29
Los Angeles,Los Angeles - Miracle Mile,1413,18,2021-09-29
Los Angeles,Los Angeles - Mission Hills,4987,128,2021-09-29
Los Angeles,Los Angeles - Mt. Washington,3247,65,2021-09-29
Los Angeles,Los Angeles - North Hills,10663,158,2021-09-29
Los Angeles,Los Angeles - North Hollywood,24665,374,2021-09-29
Los Angeles,Los Angeles - Northridge,9159,190,2021-09-29
Los Angeles,Los Angeles - Pacific Palisades,1138,15,2021-09-29
Los Angeles,Los Angeles - Pacoima,18987,242,2021-09-29
Los Angeles,Los Angeles - Palisades Highlands,201,1,2021-09-29
Los Angeles,Los Angeles - Palms,3373,62,2021-09-29
Los Angeles,Los Angeles - Panorama City,15066,286,2021-09-29
Los Angeles,Los Angeles - Park La Brea,877,1,2021-09-29
Los Angeles,Los Angeles - Pico-Union,7775,239,2021-09-29
Los Angeles,Los Angeles - Playa Del Rey,172,1,2021-09-29
Los Angeles,Los Angeles - Playa Vista,845,11,2021-09-29
Los Angeles,Los Angeles - Porter Ranch,3225,43,2021-09-29
Los Angeles,Los Angeles - Rancho Park,513,2,2021-09-29
Los Angeles,Los Angeles - Regent Square,326,3,2021-09-29
Los Angeles,Los Angeles - Reseda,13370,311,2021-09-29
