county,area,confirmed_cases,county_date
Marin,Census Tract 1220.00: San Quentin,0,2022-05-24
Marin,Census Tract 1090.01: San Rafael: Sun Valley,751,2022-05-24
Marin,Census Tract 1302.01: Sausalito: Waldo Point,323,2022-05-24
Marin,Census Tract 1192.01: Larkspur; Kentfield,508,2022-05-24
Marin,Census Tract 1192.02: Larkspur; Kentfield,362,2022-05-24
Marin,Census Tract 1022.02: Novato,892,2022-05-24
Marin,Census Tract 1110.00: San Rafael,977,2022-05-24
Marin,Census Tract 1230.00: Belvedere,213,2022-05-24
Marin,Census Tract 1181.00: Ross,221,2022-05-24
Marin,Census Tract 1122.01: San Rafael: Canal,2214,2022-05-24
Marin,Census Tract 1160.00: San Anselmo,268,2022-05-24
Marin,Census Tract 1022.03: Novato,985,2022-05-24
Marin,Census Tract 1041.02: Novato,911,2022-05-24
Marin,Census Tract 1170.00: San Anselmo,491,2022-05-24
Marin,Census Tract 1250.00: Strawberry,381,2022-05-24
Marin,Census Tract 1262.00: Mill Valley,501,2022-05-24
Marin,Census Tract 1101.00: San Rafael: Country Club,1017,2022-05-24
Marin,Census Tract 1012.00: Novato,418,2022-05-24
Marin,Census Tract 1261.00: Mill Valley,529,2022-05-24
Marin,Census Tract 1200.00: Larkspur,651,2022-05-24
Marin,Census Tract 1241.00: Tiburon; Strawberry,505,2022-05-24
Marin,Census Tract 1211.00: Corte Madera,635,2022-05-24
Marin,Census Tract 1142.00: Fairfax; Unincorporated Fairfax,324,2022-05-24
Marin,Census Tract 1021.00: Novato,260,2022-05-24
Marin,Census Tract 1270.00: Mill Valley,409,2022-05-24
Marin,Census Tract 1102.00: San Rafael: Bayside Acres; Point San Pedro,503,2022-05-24
Marin,Census Tract 1060.02: San Rafael: Santa Venetia,829,2022-05-24
Marin,Census Tract 1290.00: Marin City,454,2022-05-24
Marin,Census Tract 1121.00: San Rafael: California Park,787,2022-05-24
Marin,Census Tract 1032.00: Novato,1304,2022-05-24
Marin,Census Tract 1090.02: San Rafael: Sun Valley,439,2022-05-24
Marin,Census Tract 1082.00: San Rafael: Los Ranchitos,1020,2022-05-24
Marin,Census Tract 1041.01: Novato,1139,2022-05-24
Marin,Census Tract 1081.00: San Rafael,754,2022-05-24
Marin,Census Tract 1191.00: Kentfield,551,2022-05-24
Marin,Census Tract 1122.02: San Rafael: Canal,951,2022-05-24
Marin,Census Tract 1150.00: San Anselmo; Sleepy Hollow,686,2022-05-24
Marin,Census Tract 1212.00: Corte Madera,775,2022-05-24
Marin,Census Tract 1141.00: Fairfax; Unincorporated Marin,482,2022-05-24
Marin,Census Tract 1031.00: Novato: Indian Valley,977,2022-05-24
Marin,Dillon Beach-Inverness-Point Reyes Station-Tomales,203,2022-05-24
Marin,Census Tract 1060.01: San Rafael; Unincorporated Marin,923,2022-05-24
Marin,Census Tract 1070.00: Lucas Valley; Lucas Valley Environs; Marinwood,584,2022-05-24
Marin,San Geronimo-Woodacre,149,2022-05-24
Marin,Census Tract 1282.00: Almonte; Homestead; Muir Woods Park,413,2022-05-24
Marin,Census Tract 1050.00: Novato,1114,2022-05-24
Marin,Census Tract 1281.00: Tamalpais Valley; Homestead Valley,626,2022-05-24
Marin,Census Tract 1242.00: Tiburon,573,2022-05-24
Marin,Census Tract 1011.00: Novato: Black Point; North Novato,275,2022-05-24
Marin,Nicasio-Lagunitas-Forest Knolls,187,2022-05-24
Marin,Census Tract 1042.00: Novato: Loma Verde,880,2022-05-24
Marin,Census Tract 1302.02: Sausalito: Waldo Point,475,2022-05-24
Marin,Census Tract 1043.00: Bel Marin Keys,181,2022-05-24
Marin,Bolinas-Muir Beach-Stinson Beach,116,2022-05-24
