county,area,confirmed_cases,county_date,zip
Monterey,93902: Prunedale,44,2020-12-27,93902
Monterey,93907: Salinas,1005,2020-12-27,93907
Monterey,95004: Aromas,45,2020-12-27,95004
Monterey,95012: Castroville,760,2020-12-27,95012
Monterey,95039: Moss Landing,60,2020-12-27,95039
Monterey,95076: Watsonville,737,2020-12-27,95076
Monterey,93920: Big Sur,20,2020-12-27,93920
Monterey,93921: Carmel,17,2020-12-27,93921
Monterey,93923: Carmel,122,2020-12-27,93923
Monterey,93924: Carmel Valley,48,2020-12-27,93924
Monterey,93933: Marina,599,2020-12-27,93933
Monterey,93940: Monterey,464,2020-12-27,93940
Monterey,93942: Monterey,10,2020-12-27,93942
Monterey,93950: Pacific Grove,141,2020-12-27,93950
Monterey,93953: Pebble Beach,32,2020-12-27,93953
Monterey,93955: Seaside,1260,2020-12-27,93955
Monterey,93901: Salinas,1493,2020-12-27,93901
Monterey,93905: Salinas,5547,2020-12-27,93905
Monterey,93906: Salinas,4663,2020-12-27,93906
Monterey,93908: Salinas,313,2020-12-27,93908
Monterey,93912: Boronda,60,2020-12-27,93912
Monterey,93915: Salinas,42,2020-12-27,93915
Monterey,93962: Spreckels,19,2020-12-27,93962
Monterey,93450: San Ardo,76,2020-12-27,93450
Monterey,93925: Chualar,134,2020-12-27,93925
Monterey,93926: Gonzales,880,2020-12-27,93926
Monterey,93927: Greenfield,1598,2020-12-27,93927
Monterey,93930: King City,1329,2020-12-27,93930
Monterey,93954: San Lucas,37,2020-12-27,93954
Monterey,93960: Soledad,3916,2020-12-27,93960
