county,area,confirmed_cases,county_date
Napa,North Calistoga,104,2022-11-03
Napa,Between St Helena and Calistoga,168,2022-11-03
Napa,Pope Valley Area,100,2022-11-03
Napa,Between Yountville and St Helena,246,2022-11-03
Napa,Chiles Valley Area,49,2022-11-03
Napa,Lake Berryessa,154,2022-11-03
Napa,West Napa and Yountville Area,183,2022-11-03
Napa,South Napa Area,1005,2022-11-03
Napa,Northeast American Canyon Area,29,2022-11-03
Napa,Calistoga,1076,2022-11-03
Napa,St. Helena,939,2022-11-03
Napa,Yountville,469,2022-11-03
Napa,Napa,19325,2022-11-03
Napa,American Canyon,6482,2022-11-03
Napa,Angwin,379,2022-11-03
Napa,Deer Park,125,2022-11-03
Napa,West Napa Area,127,2022-11-03
Napa,East Napa Area,1163,2022-11-03
