county,area,confirmed_cases,county_date,zip
Nevada,95712: Chicago Park,55,2022-06-07,95712
Nevada,95924: Cedar Ridge,111,2022-06-07,95924
Nevada,96111: Floriston,15,2022-06-07,96111
Nevada,95724: Norden,10,2022-06-07,95724
Nevada,95728: Soda Springs,75,2022-06-07,95728
Nevada,95960: North San Juan,121,2022-06-07,95960
Nevada,95602: Auburn,720,2022-06-07,95602
Nevada,95977: Smartville,122,2022-06-07,95977
Nevada,95945: Grass Valley,4627,2022-06-07,95945
Nevada,95949: Grass Valley,2820,2022-06-07,95949
Nevada,95975: Rough And Ready,230,2022-06-07,95975
Nevada,95946: Penn Valley,1314,2022-06-07,95946
Nevada,95959: Nevada City,2561,2022-06-07,95959
Nevada,95986: Washington,11,2022-06-07,95986
Nevada,96162: Truckee,217,2022-06-07,96162
Nevada,96161: Truckee,3522,2022-06-07,96161
Nevada,96160: Truckee,337,2022-06-07,96160
