county,area,confirmed_cases,county_date
Orange,Coto de Caza,567,2022-01-18
Orange,Ladera Ranch,2328,2022-01-18
Orange,Aliso Viejo,5256,2022-01-18
Orange,Anaheim,66612,2022-01-18
Orange,Brea,6395,2022-01-18
Orange,Buena Park,13080,2022-01-18
Orange,Costa Mesa,16592,2022-01-18
Orange,Cypress,6150,2022-01-18
Orange,Dana Point,3342,2022-01-18
Orange,Fountain Valley,7466,2022-01-18
Orange,Fullerton,20699,2022-01-18
Orange,Garden Grove,27149,2022-01-18
Orange,Huntington Beach,22141,2022-01-18
Orange,Irvine,28421,2022-01-18
Orange,La Habra,11166,2022-01-18
Orange,La Palma,1834,2022-01-18
Orange,Laguna Beach,2031,2022-01-18
Orange,Laguna Hills,3490,2022-01-18
Orange,Laguna Niguel,5975,2022-01-18
Orange,Laguna Woods,841,2022-01-18
Orange,Lake Forest,8566,2022-01-18
Orange,Los Alamitos,2422,2022-01-18
Orange,Midway City,1239,2022-01-18
Orange,Mission Viejo,10145,2022-01-18
Orange,Newport Beach,8355,2022-01-18
Orange,Orange,20599,2022-01-18
Orange,Placentia,8304,2022-01-18
Orange,Rancho Santa Margarita,4985,2022-01-18
Orange,San Clemente,6654,2022-01-18
Orange,San Juan Capistrano,4923,2022-01-18
Orange,Santa Ana,64820,2022-01-18
Orange,Seal Beach,2481,2022-01-18
Orange,Stanton,4966,2022-01-18
Orange,Tustin,11688,2022-01-18
Orange,Villa Park,590,2022-01-18
Orange,Westminster,12656,2022-01-18
Orange,Yorba Linda,9618,2022-01-18
Orange,Rancho Mission Viejo,924,2022-01-18
Orange,Trabuco Canyon,2336,2022-01-18
Orange,Rossmoor,257,2022-01-18
Orange,Silverado,198,2022-01-18
