county,area,confirmed_cases,county_date,zip
Placer,96162: Truckee,<6,2021-06-18,96162
Placer,95658: Newcastle,305,2021-06-18,95658
Placer,95714: Dutch Flat,11,2021-06-18,95714
Placer,95715: Emigrant Gap,9,2021-06-18,95715
Placer,96148: Tahoe Vista,71,2021-06-18,96148
Placer,95661: Roseville,2251,2021-06-18,95661
Placer,96161: Truckee,91,2021-06-18,96161
Placer,95650: Loomis,728,2021-06-18,95650
Placer,96146: Olympic Valley,68,2021-06-18,96146
Placer,95678: Roseville,2977,2021-06-18,95678
Placer,95603: Auburn,1630,2021-06-18,95603
Placer,95724: Norden,<6,2021-06-18,95724
Placer,95602: Auburn,886,2021-06-18,95602
Placer,95631: Foresthill,239,2021-06-18,95631
Placer,95677: Rocklin,1607,2021-06-18,95677
Placer,95722: Meadow Vista,202,2021-06-18,95722
Placer,95717: Gold Run,<6,2021-06-18,95717
Placer,95746: Granite Bay,1058,2021-06-18,95746
Placer,95703: Applegate,90,2021-06-18,95703
Placer,95626: Elverta,24,2021-06-18,95626
Placer,95713: Colfax,331,2021-06-18,95713
Placer,96140: Carnelian Bay,68,2021-06-18,96140
Placer,95681: Sheridan,78,2021-06-18,95681
Placer,95663: Penryn,154,2021-06-18,95663
Placer,96143: Kings Beach,435,2021-06-18,96143
Placer,95701: Alta,39,2021-06-18,95701
Placer,95648: Lincoln,3006,2021-06-18,95648
Placer,95747: Roseville,4261,2021-06-18,95747
Placer,96142: Tahoma,<6,2021-06-18,96142
Placer,96141: Homewood,15,2021-06-18,96141
Placer,95765: Rocklin,2379,2021-06-18,95765
Placer,96145: Tahoe City,183,2021-06-18,96145
