county,area,confirmed_cases,county_date
Riverside,Riverside,35904,2021-01-11
Riverside,Moreno Valley,24351,2021-01-11
Riverside,Corona,12642,2021-01-11
Riverside,Lake Elsinore,5006,2021-01-11
Riverside,Beaumont,4397,2021-01-11
Riverside,Hemet,6248,2021-01-11
Riverside,Norco,1796,2021-01-11
Riverside,Cathedral City,5177,2021-01-11
Riverside,San Jacinto,4559,2021-01-11
Riverside,Palm Desert,2857,2021-01-11
Riverside,Menifee,6545,2021-01-11
Riverside,Wildomar,2351,2021-01-11
Riverside,Calimesa,705,2021-01-11
Riverside,Canyon Lake,650,2021-01-11
Riverside,Coachella,6213,2021-01-11
Riverside,Indian Wells,149,2021-01-11
Riverside,La Quinta,2465,2021-01-11
Riverside,Banning,2299,2021-01-11
Riverside,Rancho Mirage,742,2021-01-11
Riverside,Temecula,4708,2021-01-11
Riverside,Desert Hot Springs,2963,2021-01-11
Riverside,Palm Springs,2736,2021-01-11
Riverside,Jurupa Valley,12410,2021-01-11
Riverside,Blythe,968,2021-01-11
Riverside,Indio,9254,2021-01-11
Riverside,Perris,10016,2021-01-11
Riverside,Eastvale,5374,2021-01-11
Riverside,Murrieta,5638,2021-01-11
Riverside,Anza,82,2021-01-11
Riverside,Bermuda Dunes,453,2021-01-11
Riverside,Coronita,258,2021-01-11
Riverside,East Hemet,1352,2021-01-11
Riverside,Cabazon,220,2021-01-11
Riverside,Cherry Valley,345,2021-01-11
Riverside,Desert Edge,241,2021-01-11
Riverside,Desert Palms,187,2021-01-11
Riverside,El Cerrito,527,2021-01-11
Riverside,El Sobrante,1317,2021-01-11
Riverside,French Valley,1515,2021-01-11
Riverside,Good Hope,1039,2021-01-11
Riverside,Home Gardens,1324,2021-01-11
Riverside,Idyllwild-Pine Cove,77,2021-01-11
Riverside,Lakeland Village,760,2021-01-11
Riverside,Lakeview,182,2021-01-11
Riverside,Garnet,653,2021-01-11
Riverside,Green Acres,175,2021-01-11
Riverside,Highgrove,591,2021-01-11
Riverside,Homeland,471,2021-01-11
Riverside,Lake Mathews,416,2021-01-11
Riverside,Meadowbrook,170,2021-01-11
Riverside,Mead Valley,2426,2021-01-11
Riverside,Mecca,918,2021-01-11
Riverside,North Shore,290,2021-01-11
Riverside,Nuevo,751,2021-01-11
Riverside,Oasis,693,2021-01-11
Riverside,Romoland,179,2021-01-11
Riverside,Sky Valley,145,2021-01-11
Riverside,Thermal,362,2021-01-11
Riverside,Thousand Palms,692,2021-01-11
Riverside,Valle Vista,1003,2021-01-11
Riverside,Winchester,126,2021-01-11
Riverside,Woodcrest,1241,2021-01-11
Riverside,Temescal Valley,1805,2021-01-11
Riverside,Vista Santa Rosa,235,2021-01-11
