county,area,confirmed_cases,county_date
San Bernardino,Adelanto,5465,2021-05-04
San Bernardino,Angelus Oaks,39,2021-05-04
San Bernardino,Apple Valley,9481,2021-05-04
San Bernardino,Arrowbear,5,2021-05-04
San Bernardino,Baker,57,2021-05-04
San Bernardino,Barstow,3480,2021-05-04
San Bernardino,Big Bear City,564,2021-05-04
San Bernardino,Big Bear Lake,398,2021-05-04
San Bernardino,Big River,20,2021-05-04
San Bernardino,Bloomington,6039,2021-05-04
San Bernardino,Blue Jay,161,2021-05-04
San Bernardino,Cedar Glen,7,2021-05-04
San Bernardino,Chino,13257,2021-05-04
San Bernardino,Chino Hills,5842,2021-05-04
San Bernardino,Colton,10271,2021-05-04
San Bernardino,Crestline,644,2021-05-04
San Bernardino,Daggett,20,2021-05-04
San Bernardino,Devore,2,2021-05-04
San Bernardino,Fawnskin,21,2021-05-04
San Bernardino,Fontana,39789,2021-05-04
San Bernardino,Forest Falls,38,2021-05-04
San Bernardino,Grand Terrace,1627,2021-05-04
San Bernardino,Green Valley Lake,13,2021-05-04
San Bernardino,Havasu,6,2021-05-04
San Bernardino,Helendale,524,2021-05-04
San Bernardino,Hesperia,14015,2021-05-04
San Bernardino,Highland,8130,2021-05-04
San Bernardino,Hinkley,55,2021-05-04
San Bernardino,Joshua Tree,357,2021-05-04
San Bernardino,Lake Arrowhead,471,2021-05-04
San Bernardino,Landers,60,2021-05-04
San Bernardino,Loma Linda,2686,2021-05-04
San Bernardino,Lucerne Valley,359,2021-05-04
San Bernardino,Lytle Creek,73,2021-05-04
San Bernardino,Mentone,1097,2021-05-04
San Bernardino,Montclair,6179,2021-05-04
San Bernardino,Morongo Valley,178,2021-05-04
San Bernardino,Mt Baldy,2,2021-05-04
San Bernardino,Muscoy,110,2021-05-04
San Bernardino,Needles,395,2021-05-04
San Bernardino,Newberry Springs,135,2021-05-04
San Bernardino,Oak Glen,13,2021-05-04
San Bernardino,Oak Hills,1553,2021-05-04
San Bernardino,Ontario,26189,2021-05-04
San Bernardino,Oro Grande,131,2021-05-04
San Bernardino,Phelan,1649,2021-05-04
San Bernardino,Piñon Hills,423,2021-05-04
San Bernardino,Pioneertown,8,2021-05-04
San Bernardino,Rancho Cucamonga,18368,2021-05-04
San Bernardino,Redlands,8796,2021-05-04
San Bernardino,Rialto,18642,2021-05-04
San Bernardino,Rimforest,45,2021-05-04
San Bernardino,Running Springs,289,2021-05-04
San Bernardino,San Bernardino,40682,2021-05-04
San Bernardino,Sugarloaf,91,2021-05-04
San Bernardino,Trona,43,2021-05-04
San Bernardino,Twentynine Palms,1101,2021-05-04
San Bernardino,Twin Peaks,134,2021-05-04
San Bernardino,Upland,8596,2021-05-04
San Bernardino,Victorville,21291,2021-05-04
San Bernardino,Wrightwood,335,2021-05-04
San Bernardino,Yermo,83,2021-05-04
San Bernardino,Yucaipa,5690,2021-05-04
San Bernardino,Yucca Valley,1532,2021-05-04
