county,city,confirmed_cases,county_date,zip
San Diego,91901: Alpine,1319,2021-06-09,91901
San Diego,91902: Bonita,1400,2021-06-09,91902
San Diego,91905: Boulevard,71,2021-06-09,91905
San Diego,91906: Campo,302,2021-06-09,91906
San Diego,91910: Chula Vista,9249,2021-06-09,91910
San Diego,91911: Chula Vista,11345,2021-06-09,91911
San Diego,91913: Chula Vista,4803,2021-06-09,91913
San Diego,91914: Chula Vista,1458,2021-06-09,91914
San Diego,91915: Chula Vista,2830,2021-06-09,91915
San Diego,91916: Descanso,94,2021-06-09,91916
San Diego,91917: Dulzura,184,2021-06-09,91917
San Diego,91931: Guatay,12,2021-06-09,91931
San Diego,91932: Imperial Beach,2678,2021-06-09,91932
San Diego,91934: Jacumba,36,2021-06-09,91934
San Diego,91935: Jamul,711,2021-06-09,91935
San Diego,91941: La Mesa,2378,2021-06-09,91941
San Diego,91942: La Mesa,2588,2021-06-09,91942
San Diego,91945: Lemon Grove,3000,2021-06-09,91945
San Diego,91950: National City,7825,2021-06-09,91950
San Diego,91962: Pine Valley,105,2021-06-09,91962
San Diego,91963: Potrero,199,2021-06-09,91963
San Diego,91977: Spring Valley,7017,2021-06-09,91977
San Diego,91978: Spring Valley,864,2021-06-09,91978
San Diego,91980: Tecate,172,2021-06-09,91980
San Diego,92003: Bonsall,286,2021-06-09,92003
San Diego,92004: Borrego Springs,138,2021-06-09,92004
San Diego,92007: Cardiff by the Sea,442,2021-06-09,92007
San Diego,92008: Carlsbad,1402,2021-06-09,92008
San Diego,92009: Carlsbad,1862,2021-06-09,92009
San Diego,92010: Carlsbad,811,2021-06-09,92010
San Diego,92011: Carlsbad,915,2021-06-09,92011
San Diego,92014: Del Mar,464,2021-06-09,92014
San Diego,92019: El Cajon,4575,2021-06-09,92019
San Diego,92020: El Cajon,6989,2021-06-09,92020
San Diego,92021: El Cajon,7320,2021-06-09,92021
San Diego,92024: Encinitas,2522,2021-06-09,92024
San Diego,92025: Escondido,5514,2021-06-09,92025
San Diego,92026: Escondido,5069,2021-06-09,92026
San Diego,92027: Escondido,6319,2021-06-09,92027
San Diego,92028: Fallbrook,3970,2021-06-09,92028
San Diego,92029: Escondido,1382,2021-06-09,92029
San Diego,92036: Julian,112,2021-06-09,92036
San Diego,92037: La Jolla,1633,2021-06-09,92037
San Diego,92040: Lakeside,3242,2021-06-09,92040
San Diego,92054: Oceanside,2907,2021-06-09,92054
San Diego,92055: Camp Pendleton,688,2021-06-09,92055
San Diego,92056: Oceanside,3716,2021-06-09,92056
San Diego,92057: Oceanside,4614,2021-06-09,92057
San Diego,92058: Oceanside,2536,2021-06-09,92058
San Diego,92059: Pala,254,2021-06-09,92059
San Diego,92060: Palomar Mountain,20,2021-06-09,92060
San Diego,92061: Pauma Valley,231,2021-06-09,92061
San Diego,92064: Poway,2503,2021-06-09,92064
San Diego,92065: Ramona,2596,2021-06-09,92065
San Diego,92066: Ranchita,13,2021-06-09,92066
San Diego,92067: Rancho Santa Fe,405,2021-06-09,92067
San Diego,92069: San Marcos,4799,2021-06-09,92069
San Diego,92070: Santa Ysabel,69,2021-06-09,92070
San Diego,92071: Santee,3965,2021-06-09,92071
San Diego,92075: Solana Beach,515,2021-06-09,92075
San Diego,92078: San Marcos,3325,2021-06-09,92078
San Diego,92081: Vista,1976,2021-06-09,92081
San Diego,92082: Valley Center,1541,2021-06-09,92082
San Diego,92083: Vista,4754,2021-06-09,92083
San Diego,92084: Vista,5242,2021-06-09,92084
San Diego,92086: Warner Springs,56,2021-06-09,92086
San Diego,92091: Rancho Santa Fe,37,2021-06-09,92091
San Diego,92093: La Jolla,189,2021-06-09,92093
San Diego,92096: San Marcos,5,2021-06-09,92096
San Diego,92101: San Diego,4065,2021-06-09,92101
San Diego,92102: San Diego,4599,2021-06-09,92102
San Diego,92103: San Diego,1863,2021-06-09,92103
San Diego,92104: San Diego,2916,2021-06-09,92104
San Diego,92105: San Diego,7453,2021-06-09,92105
San Diego,92106: San Diego,858,2021-06-09,92106
San Diego,92107: San Diego,1257,2021-06-09,92107
San Diego,92108: San Diego,1639,2021-06-09,92108
San Diego,92109: San Diego,3248,2021-06-09,92109
San Diego,92110: San Diego,2034,2021-06-09,92110
San Diego,92111: San Diego,3104,2021-06-09,92111
San Diego,92113: San Diego,7487,2021-06-09,92113
San Diego,92114: San Diego,7558,2021-06-09,92114
San Diego,92115: San Diego,6057,2021-06-09,92115
San Diego,92116: San Diego,1702,2021-06-09,92116
San Diego,92117: San Diego,3028,2021-06-09,92117
San Diego,92118: Coronado,708,2021-06-09,92118
San Diego,92119: San Diego,1249,2021-06-09,92119
San Diego,92120: San Diego,1758,2021-06-09,92120
San Diego,92121: San Diego,197,2021-06-09,92121
San Diego,92122: San Diego,1434,2021-06-09,92122
San Diego,92123: San Diego,2207,2021-06-09,92123
San Diego,92124: San Diego,1301,2021-06-09,92124
San Diego,92126: San Diego,4254,2021-06-09,92126
San Diego,92127: San Diego,1771,2021-06-09,92127
San Diego,92128: San Diego,2098,2021-06-09,92128
San Diego,92129: San Diego,2055,2021-06-09,92129
San Diego,92130: San Diego,1813,2021-06-09,92130
San Diego,92131: San Diego,1297,2021-06-09,92131
San Diego,92134: San Diego,45,2021-06-09,92134
San Diego,92135: Coronado,86,2021-06-09,92135
San Diego,92136: San Diego,250,2021-06-09,92136
San Diego,92139: San Diego,3627,2021-06-09,92139
San Diego,92140: San Diego,121,2021-06-09,92140
San Diego,92145: San Diego,13,2021-06-09,92145
San Diego,92154: San Diego,14214,2021-06-09,92154
San Diego,92155: Coronado,21,2021-06-09,92155
San Diego,92173: San Ysidro,6424,2021-06-09,92173
San Diego,92182: San Diego,32,2021-06-09,92182
San Diego,92536: Aguanga,7,2021-06-09,92536
San Diego,92672: San Clemente,14,2021-06-09,92672
