county,area,confirmed_cases,county_date
San Francisco,94102,4412,2022-01-19
San Francisco,94103,4578,2022-01-19
San Francisco,94104,0,2022-01-19
San Francisco,94105,1288,2022-01-19
San Francisco,94107,3339,2022-01-19
San Francisco,94108,897,2022-01-19
San Francisco,94109,5568,2022-01-19
San Francisco,94110,8992,2022-01-19
San Francisco,94111,336,2022-01-19
San Francisco,94112,10417,2022-01-19
San Francisco,94114,2762,2022-01-19
San Francisco,94115,3587,2022-01-19
San Francisco,94116,3084,2022-01-19
San Francisco,94117,3524,2022-01-19
San Francisco,94118,2930,2022-01-19
San Francisco,94121,2903,2022-01-19
San Francisco,94122,3818,2022-01-19
San Francisco,94123,2599,2022-01-19
San Francisco,94124,7756,2022-01-19
San Francisco,94127,1539,2022-01-19
San Francisco,94129,308,2022-01-19
San Francisco,94130,329,2022-01-19
San Francisco,94131,2157,2022-01-19
San Francisco,94132,2310,2022-01-19
San Francisco,94133,2043,2022-01-19
San Francisco,94134,5707,2022-01-19
San Francisco,94158,994,2022-01-19
