county,area,county_date,confirmed_cases
San Joaquin,95202: Stockton,2021-04-22,582
San Joaquin,95203: Stockton,2021-04-22,1550
San Joaquin,95204: Stockton,2021-04-22,2836
San Joaquin,95205: Stockton,2021-04-22,4131
San Joaquin,95206: Stockton,2021-04-22,7503
San Joaquin,95207: Stockton,2021-04-22,4821
San Joaquin,95209: Stockton,2021-04-22,4186
San Joaquin,95210: Stockton,2021-04-22,4127
San Joaquin,95211: Stockton,2021-04-22,7
San Joaquin,95212: Stockton,2021-04-22,2841
San Joaquin,95215: Stockton,2021-04-22,2380
San Joaquin,95219: Stockton,2021-04-22,2126
San Joaquin,95220: Acampo,2021-04-22,521
San Joaquin,95227: Clements,2021-04-22,56
San Joaquin,95230: Farmington,2021-04-22,28
San Joaquin,95231: French Camp,2021-04-22,443
San Joaquin,95234: Holt,2021-04-22,0
San Joaquin,95236: Linden,2021-04-22,353
San Joaquin,95237: Lockeford,2021-04-22,268
San Joaquin,95240: Lodi,2021-04-22,4788
San Joaquin,95242: Lodi,2021-04-22,2033
San Joaquin,95253: Victor,2021-04-22,0
San Joaquin,95254: Wallace,2021-04-22,0
San Joaquin,95258: Woodbridge,2021-04-22,338
San Joaquin,95304: Banta,2021-04-22,1100
San Joaquin,95320: Escalon,2021-04-22,1131
San Joaquin,95330: Lathrop,2021-04-22,2355
San Joaquin,95336: Manteca,2021-04-22,3819
San Joaquin,95337: Manteca,2021-04-22,3606
San Joaquin,95361: Oakdale,2021-04-22,17
San Joaquin,95366: Ripon,2021-04-22,1564
San Joaquin,95367: Riverbank,2021-04-22,1
San Joaquin,95376: Tracy,2021-04-22,4554
San Joaquin,95377: Tracy,2021-04-22,2487
San Joaquin,95391: Mountain House,2021-04-22,926
San Joaquin,95632: Galt,2021-04-22,71
San Joaquin,95686: Thornton,2021-04-22,82
