county,area,confirmed_cases,county_date
San Mateo,Colma,951,2023-01-20
San Mateo,Burlingame,6143,2023-01-20
San Mateo,Broadmoor,1438,2023-01-20
San Mateo,Redwood City,21167,2023-01-20
San Mateo,San Carlos,5806,2023-01-20
San Mateo,Brisbane,1015,2023-01-20
San Mateo,East Palo Alto,12083,2023-01-20
San Mateo,Hillsborough,1817,2023-01-20
San Mateo,Foster City,5431,2023-01-20
San Mateo,Emerald Hills,827,2023-01-20
San Mateo,Woodside,979,2023-01-20
San Mateo,San Mateo,23225,2023-01-20
San Mateo,Belmont,5149,2023-01-20
San Mateo,Pescadero,46,2023-01-20
San Mateo,Atherton,1250,2023-01-20
San Mateo,Pacifica,7541,2023-01-20
San Mateo,Portola Valley,642,2023-01-20
San Mateo,South San Francisco,18476,2023-01-20
San Mateo,Daly City,28442,2023-01-20
San Mateo,Millbrae,4346,2023-01-20
San Mateo,La Honda,86,2023-01-20
San Mateo,Menlo Park,7581,2023-01-20
San Mateo,San Bruno,10701,2023-01-20
San Mateo,Half Moon Bay,2383,2023-01-20
San Mateo,Loma Mar,15,2023-01-20
San Mateo,West Menlo Park,662,2023-01-20
San Mateo,Ladera,246,2023-01-20
San Mateo,North Fair Oaks,4986,2023-01-20
San Mateo,Princeton,13,2023-01-20
San Mateo,Midcoast Region,1711,2023-01-20
