county,area,confirmed_cases,county_date
Santa Barbara, Santa Barbara,4051,2021-01-16
Santa Barbara, Goleta,1151,2021-01-16
Santa Barbara, Santa Maria,8354,2021-01-16
Santa Barbara,Santa Ynez Valley,651,2021-01-16
Santa Barbara,South County ,860,2021-01-16
Santa Barbara, Goleta Valley & Gaviota,770,2021-01-16
Santa Barbara, Isla Vista,758,2021-01-16
Santa Barbara, Orcutt,1288,2021-01-16
Santa Barbara,North County ,930,2021-01-16
Santa Barbara,Lompoc Federal Prison,1076,2021-01-16
Santa Barbara, Lompoc,2417,2021-01-16
