county,area,confirmed_cases,county_date
Santa Clara,Milpitas,13309,2022-06-30
Santa Clara,Gilroy,17463,2022-06-30
Santa Clara,Morgan Hill,10734,2022-06-30
Santa Clara,Monte Sereno,439,2022-06-30
Santa Clara,Saratoga,3412,2022-06-30
Santa Clara,Campbell,7988,2022-06-30
Santa Clara,Cupertino,6227,2022-06-30
Santa Clara,Mountain View,11013,2022-06-30
Santa Clara,Los Altos Hills,989,2022-06-30
Santa Clara,Los Altos,3658,2022-06-30
Santa Clara,Santa Clara,21475,2022-06-30
Santa Clara,Sunnyvale,21058,2022-06-30
Santa Clara,Palo Alto,8159,2022-06-30
Santa Clara,Los Gatos,5524,2022-06-30
Santa Clara,San Jose,231203,2022-06-30
