county,area,confirmed_cases,county_date
Santa Cruz,95003,4776,2023-02-22
Santa Cruz,95005,1145,2023-02-22
Santa Cruz,95006,1286,2023-02-22
Santa Cruz,95007,152,2023-02-22
Santa Cruz,95010,2251,2023-02-22
Santa Cruz,95017,118,2023-02-22
Santa Cruz,95018,1600,2023-02-22
Santa Cruz,95019,2653,2023-02-22
Santa Cruz,95033,568,2023-02-22
Santa Cruz,95060,9910,2023-02-22
Santa Cruz,95062,9055,2023-02-22
Santa Cruz,95064,1590,2023-02-22
Santa Cruz,95065,1916,2023-02-22
Santa Cruz,95066,3125,2023-02-22
Santa Cruz,95073,2340,2023-02-22
Santa Cruz,95076,24495,2023-02-22
Santa Cruz,Under investigation,1029,2023-02-22
