county,area,confirmed_cases,county_date,date
Stanislaus,Ceres,8,,2020-04-06 00:00:00
Stanislaus,County,15,,2020-04-06 00:00:00
Stanislaus,Hughson,*,,2020-04-06 00:00:00
Stanislaus,Modesto,33,,2020-04-06 00:00:00
Stanislaus,Newman,*,,2020-04-06 00:00:00
Stanislaus,Oakdale,*,,2020-04-06 00:00:00
Stanislaus,Patterson,8,,2020-04-06 00:00:00
Stanislaus,Riverbank,3,,2020-04-06 00:00:00
Stanislaus,Turlock,4,,2020-04-06 00:00:00
Stanislaus,Waterford,*,,2020-04-06 00:00:00
Stanislaus,Ceres,9,,2020-04-07 00:00:00
Stanislaus,County,17,,2020-04-07 00:00:00
Stanislaus,Hughson,*,,2020-04-07 00:00:00
Stanislaus,Modesto,39,,2020-04-07 00:00:00
Stanislaus,Newman,*,,2020-04-07 00:00:00
Stanislaus,Oakdale,*,,2020-04-07 00:00:00
Stanislaus,Patterson,8,,2020-04-07 00:00:00
Stanislaus,Riverbank,3,,2020-04-07 00:00:00
Stanislaus,Turlock,4,,2020-04-07 00:00:00
Stanislaus,Waterford,5,,2020-04-07 00:00:00
Stanislaus,Ceres,10,,2020-04-08 00:00:00
Stanislaus,County,17,,2020-04-08 00:00:00
Stanislaus,Hughson,*,,2020-04-08 00:00:00
Stanislaus,Modesto,43,,2020-04-08 00:00:00
Stanislaus,Newman,*,,2020-04-08 00:00:00
Stanislaus,Oakdale,*,,2020-04-08 00:00:00
Stanislaus,Patterson,8,,2020-04-08 00:00:00
Stanislaus,Riverbank,3,,2020-04-08 00:00:00
Stanislaus,Turlock,4,,2020-04-08 00:00:00
Stanislaus,Waterford,5,,2020-04-08 00:00:00
Stanislaus,Ceres,10,,2020-04-09 00:00:00
Stanislaus,County,17,,2020-04-09 00:00:00
Stanislaus,Hughson,*,,2020-04-09 00:00:00
Stanislaus,Modesto,43,,2020-04-09 00:00:00
Stanislaus,Newman,*,,2020-04-09 00:00:00
Stanislaus,Oakdale,*,,2020-04-09 00:00:00
Stanislaus,Patterson,8,,2020-04-09 00:00:00
Stanislaus,Riverbank,3,,2020-04-09 00:00:00
Stanislaus,Turlock,4,,2020-04-09 00:00:00
Stanislaus,Waterford,5,,2020-04-09 00:00:00
Stanislaus,Ceres,11,,2020-04-10 00:00:00
Stanislaus,County,20,,2020-04-10 00:00:00
Stanislaus,Hughson,*,,2020-04-10 00:00:00
Stanislaus,Modesto,53,,2020-04-10 00:00:00
Stanislaus,Newman,*,,2020-04-10 00:00:00
Stanislaus,Oakdale,*,,2020-04-10 00:00:00
Stanislaus,Patterson,10,,2020-04-10 00:00:00
Stanislaus,Riverbank,5,,2020-04-10 00:00:00
Stanislaus,Turlock,5,,2020-04-10 00:00:00
Stanislaus,Waterford,5,,2020-04-10 00:00:00
Stanislaus,Ceres,11,,2020-04-11 00:00:00
Stanislaus,County,21,,2020-04-11 00:00:00
Stanislaus,Hughson,*,,2020-04-11 00:00:00
Stanislaus,Modesto,56,,2020-04-11 00:00:00
Stanislaus,Newman,*,,2020-04-11 00:00:00
Stanislaus,Oakdale,*,,2020-04-11 00:00:00
Stanislaus,Patterson,10,,2020-04-11 00:00:00
Stanislaus,Riverbank,5,,2020-04-11 00:00:00
Stanislaus,Turlock,6,,2020-04-11 00:00:00
Stanislaus,Waterford,5,,2020-04-11 00:00:00
Stanislaus,Ceres,13,,2020-04-12 00:00:00
Stanislaus,County,22,,2020-04-12 00:00:00
Stanislaus,Hughson,*,,2020-04-12 00:00:00
Stanislaus,Modesto,60,,2020-04-12 00:00:00
Stanislaus,Newman,*,,2020-04-12 00:00:00
Stanislaus,Oakdale,*,,2020-04-12 00:00:00
Stanislaus,Patterson,10,,2020-04-12 00:00:00
Stanislaus,Riverbank,6,,2020-04-12 00:00:00
Stanislaus,Turlock,7,,2020-04-12 00:00:00
Stanislaus,Waterford,5,,2020-04-12 00:00:00
Stanislaus,Ceres,13,,2020-04-13 00:00:00
Stanislaus,County,22,,2020-04-13 00:00:00
Stanislaus,Hughson,*,,2020-04-13 00:00:00
Stanislaus,Modesto,60,,2020-04-13 00:00:00
Stanislaus,Newman,*,,2020-04-13 00:00:00
Stanislaus,Oakdale,*,,2020-04-13 00:00:00
Stanislaus,Patterson,10,,2020-04-13 00:00:00
Stanislaus,Riverbank,6,,2020-04-13 00:00:00
Stanislaus,Turlock,7,,2020-04-13 00:00:00
Stanislaus,Waterford,5,,2020-04-13 00:00:00
Stanislaus,Ceres,18,,2020-04-14 00:00:00
Stanislaus,County,24,,2020-04-14 00:00:00
Stanislaus,Hughson,*,,2020-04-14 00:00:00
Stanislaus,Modesto,64,,2020-04-14 00:00:00
Stanislaus,Newman,5,,2020-04-14 00:00:00
Stanislaus,Oakdale,*,,2020-04-14 00:00:00
Stanislaus,Patterson,10,,2020-04-14 00:00:00
Stanislaus,Riverbank,6,,2020-04-14 00:00:00
Stanislaus,Turlock,7,,2020-04-14 00:00:00
Stanislaus,Waterford,5,,2020-04-14 00:00:00
Stanislaus,Ceres,23,,2020-04-15 00:00:00
Stanislaus,Modesto,72,,2020-04-15 00:00:00
Stanislaus,Newman,7,,2020-04-15 00:00:00
Stanislaus,Oakdale,5,,2020-04-15 00:00:00
Stanislaus,Patterson,13,,2020-04-15 00:00:00
Stanislaus,Riverbank,6,,2020-04-15 00:00:00
Stanislaus,Turlock,12,,2020-04-15 00:00:00
Stanislaus,Waterford,6,,2020-04-15 00:00:00
Stanislaus,unincorporated,29,,2020-04-15 00:00:00
Stanislaus,Ceres,25,,2020-04-16 00:00:00
Stanislaus,Hughson,*,,2020-04-16 00:00:00
Stanislaus,Modesto,76,,2020-04-16 00:00:00
Stanislaus,Newman,7,,2020-04-16 00:00:00
Stanislaus,Oakdale,5,,2020-04-16 00:00:00
Stanislaus,Patterson,14,,2020-04-16 00:00:00
Stanislaus,Riverbank,6,,2020-04-16 00:00:00
Stanislaus,Turlock,13,,2020-04-16 00:00:00
Stanislaus,Waterford,6,,2020-04-16 00:00:00
Stanislaus,unincorporated,31,,2020-04-16 00:00:00
Stanislaus,Ceres,25,,2020-04-17 00:00:00
Stanislaus,Hughson,*,,2020-04-17 00:00:00
Stanislaus,Modesto,76,,2020-04-17 00:00:00
Stanislaus,Newman,7,,2020-04-17 00:00:00
Stanislaus,Oakdale,5,,2020-04-17 00:00:00
Stanislaus,Patterson,14,,2020-04-17 00:00:00
Stanislaus,Riverbank,6,,2020-04-17 00:00:00
Stanislaus,Turlock,13,,2020-04-17 00:00:00
Stanislaus,Waterford,6,,2020-04-17 00:00:00
Stanislaus,unincorporated,31,,2020-04-17 00:00:00
Stanislaus,Ceres,29,,2020-04-18 00:00:00
Stanislaus,Hughson,*,,2020-04-18 00:00:00
Stanislaus,Modesto,85,,2020-04-18 00:00:00
Stanislaus,Newman,8,,2020-04-18 00:00:00
Stanislaus,Oakdale,5,,2020-04-18 00:00:00
Stanislaus,Patterson,18,,2020-04-18 00:00:00
Stanislaus,Riverbank,9,,2020-04-18 00:00:00
Stanislaus,Turlock,16,,2020-04-18 00:00:00
Stanislaus,Waterford,7,,2020-04-18 00:00:00
Stanislaus,unincorporated,40,,2020-04-18 00:00:00
Stanislaus,Ceres,29,,2020-04-19 00:00:00
Stanislaus,Hughson,*,,2020-04-19 00:00:00
Stanislaus,Modesto,85,,2020-04-19 00:00:00
Stanislaus,Newman,8,,2020-04-19 00:00:00
Stanislaus,Oakdale,5,,2020-04-19 00:00:00
Stanislaus,Patterson,18,,2020-04-19 00:00:00
Stanislaus,Riverbank,9,,2020-04-19 00:00:00
Stanislaus,Turlock,16,,2020-04-19 00:00:00
Stanislaus,Waterford,7,,2020-04-19 00:00:00
Stanislaus,unincorporated,40,,2020-04-19 00:00:00
Stanislaus,Ceres,30,,2020-04-20 00:00:00
Stanislaus,Hughson,*,,2020-04-20 00:00:00
Stanislaus,Modesto,90,,2020-04-20 00:00:00
Stanislaus,Newman,8,,2020-04-20 00:00:00
Stanislaus,Oakdale,5,,2020-04-20 00:00:00
Stanislaus,Patterson,22,,2020-04-20 00:00:00
Stanislaus,Riverbank,10,,2020-04-20 00:00:00
Stanislaus,Turlock,16,,2020-04-20 00:00:00
Stanislaus,Waterford,7,,2020-04-20 00:00:00
Stanislaus,unincorporated,40,,2020-04-20 00:00:00
Stanislaus,Ceres,31,,2020-04-21 00:00:00
Stanislaus,Hughson,*,,2020-04-21 00:00:00
Stanislaus,Modesto,91,,2020-04-21 00:00:00
Stanislaus,Newman,8,,2020-04-21 00:00:00
Stanislaus,Oakdale,5,,2020-04-21 00:00:00
Stanislaus,Patterson,22,,2020-04-21 00:00:00
Stanislaus,Riverbank,10,,2020-04-21 00:00:00
Stanislaus,Turlock,18,,2020-04-21 00:00:00
Stanislaus,Waterford,7,,2020-04-21 00:00:00
Stanislaus,unincorporated,40,,2020-04-21 00:00:00
Stanislaus,Ceres,31,,2020-04-22 00:00:00
Stanislaus,Hughson,5,,2020-04-22 00:00:00
Stanislaus,Modesto,91,,2020-04-22 00:00:00
Stanislaus,Newman,9,,2020-04-22 00:00:00
Stanislaus,Oakdale,5,,2020-04-22 00:00:00
Stanislaus,Patterson,24,,2020-04-22 00:00:00
Stanislaus,Riverbank,11,,2020-04-22 00:00:00
Stanislaus,Turlock,22,,2020-04-22 00:00:00
Stanislaus,Waterford,7,,2020-04-22 00:00:00
Stanislaus,unincorporated,46,,2020-04-22 00:00:00
Stanislaus,Ceres,31,,2020-04-23 00:00:00
Stanislaus,Hughson,5,,2020-04-23 00:00:00
Stanislaus,Modesto,91,,2020-04-23 00:00:00
Stanislaus,Newman,9,,2020-04-23 00:00:00
Stanislaus,Oakdale,5,,2020-04-23 00:00:00
Stanislaus,Patterson,27,,2020-04-23 00:00:00
Stanislaus,Riverbank,11,,2020-04-23 00:00:00
Stanislaus,Turlock,24,,2020-04-23 00:00:00
Stanislaus,Waterford,7,,2020-04-23 00:00:00
Stanislaus,unincorporated,48,,2020-04-23 00:00:00
Stanislaus,Ceres,31,,2020-04-24 00:00:00
Stanislaus,Hughson,5,,2020-04-24 00:00:00
Stanislaus,Modesto,91,,2020-04-24 00:00:00
Stanislaus,Newman,9,,2020-04-24 00:00:00
Stanislaus,Oakdale,5,,2020-04-24 00:00:00
Stanislaus,Patterson,27,,2020-04-24 00:00:00
Stanislaus,Riverbank,11,,2020-04-24 00:00:00
Stanislaus,Turlock,24,,2020-04-24 00:00:00
Stanislaus,Waterford,7,,2020-04-24 00:00:00
Stanislaus,unincorporated,48,,2020-04-24 00:00:00
Stanislaus,Ceres,31,,2020-04-25 00:00:00
Stanislaus,Hughson,5,,2020-04-25 00:00:00
Stanislaus,Modesto,93,,2020-04-25 00:00:00
Stanislaus,Newman,9,,2020-04-25 00:00:00
Stanislaus,Oakdale,5,,2020-04-25 00:00:00
Stanislaus,Patterson,28,,2020-04-25 00:00:00
Stanislaus,Riverbank,11,,2020-04-25 00:00:00
Stanislaus,Turlock,27,,2020-04-25 00:00:00
Stanislaus,Waterford,7,,2020-04-25 00:00:00
Stanislaus,unincorporated,48,,2020-04-25 00:00:00
Stanislaus,Ceres,33,,2020-04-26 00:00:00
Stanislaus,Hughson,5,,2020-04-26 00:00:00
Stanislaus,Modesto,95,,2020-04-26 00:00:00
Stanislaus,Newman,10,,2020-04-26 00:00:00
Stanislaus,Oakdale,5,,2020-04-26 00:00:00
Stanislaus,Patterson,35,,2020-04-26 00:00:00
Stanislaus,Riverbank,11,,2020-04-26 00:00:00
Stanislaus,Turlock,42,,2020-04-26 00:00:00
Stanislaus,Waterford,7,,2020-04-26 00:00:00
Stanislaus,unincorporated,51,,2020-04-26 00:00:00
