county,area,confirmed_cases,county_date,zip
Tulare,"Corcoran, Angiola: 93212",16,2021-09-13,93212
Tulare,Richgrove: 93215,359,2021-09-13,93215
Tulare,Earlimart: 93219,1608,2021-09-13,93219
Tulare,Exeter: 93221,1234,2021-09-13,93221
Tulare,Farmersville: 93223,1366,2021-09-13,93223
Tulare,Ivanhoe: 93235,557,2021-09-13,93235
Tulare,Lindsay: 93247,2089,2021-09-13,93247
Tulare,Pixley: 93256,945,2021-09-13,93256
Tulare,Porterville: 93257,11897,2021-09-13,93257
Tulare,Mountain: 93262,51,2021-09-13,93262
Tulare,Strathmore: 93267,748,2021-09-13,93267
Tulare,Terra Bella: 93270,836,2021-09-13,93270
Tulare,Tipton: 93272,477,2021-09-13,93272
Tulare,Tulare: 93274,10486,2021-09-13,93274
Tulare,Visalia: 93277,5087,2021-09-13,93277
Tulare,Woodlake: 93286,1065,2021-09-13,93286
Tulare,Visalia: 93291,6369,2021-09-13,93291
Tulare,Visalia: 93292,4158,2021-09-13,93292
Tulare,Goshen: 93227,109,2021-09-13,93227
Tulare,Cutler: 93615,855,2021-09-13,93615
Tulare,Dinuba: 93618,5086,2021-09-13,93618
Tulare,Traver: 93631,310,2021-09-13,93631
Tulare,Traver: 93646,33,2021-09-13,93646
Tulare,Orosi: 93654,86,2021-09-13,93654
Tulare,Orosi: 93647,1721,2021-09-13,93647
Tulare,Alpaugh: 93201,121,2021-09-13,93201
Tulare,Three Rivers: 93271,75,2021-09-13,93271
Tulare,Springville: 93265,245,2021-09-13,93265
