county,area,confirmed_cases,county_date,zip
Ventura,93033: Oxnard,24121,2022-06-13,93033
Ventura,93030: Oxnard,17756,2022-06-13,93030
Ventura,93065: Simi Valley,15194,2022-06-13,93065
Ventura,93036: Oxnard,12633,2022-06-13,93036
Ventura,93063: Simi Valley (Santa Susana),10836,2022-06-13,93063
Ventura,93060: Santa Paula,10593,2022-06-13,93060
Ventura,93003: Ventura,10352,2022-06-13,93003
Ventura,93010: Camarillo,8480,2022-06-13,93010
Ventura,91320: Thousand Oaks/Newbury Park,7731,2022-06-13,91320
Ventura,91360: Thousand Oaks,7564,2022-06-13,91360
Ventura,93021: Moorpark,7143,2022-06-13,93021
Ventura,93001: Ventura,6848,2022-06-13,93001
Ventura,93015: Fillmore,6033,2022-06-13,93015
Ventura,93004: Ventura,5824,2022-06-13,93004
Ventura,93035: Oxnard,5798,2022-06-13,93035
Ventura,91362: Thousand Oaks/Westlake,5491,2022-06-13,91362
Ventura,93041: Port Hueneme,5348,2022-06-13,93041
Ventura,93012: Camarillo/Santa Rosa Valley,5275,2022-06-13,93012
Ventura,93023: Ojai,2852,2022-06-13,93023
Ventura,91361: Thousand Oaks/Lake Sherwood/Westlake,1942,2022-06-13,91361
Ventura,91377: Oak Park,1941,2022-06-13,91377
Ventura,93022: Oak View,1063,2022-06-13,93022
Ventura,93040: Piru,742,2022-06-13,93040
Ventura,93066: Somis,549,2022-06-13,93066
Ventura,Unknown,124,2022-06-13,Unkno
Ventura,91307: Bell Canyon,38,2022-06-13,91307
