Date,InstitutionName,Latitude,Longitude,TotalConfirmed,TotalDeaths,DistinctPatientsTested,NewInTheLast14Days
2020-03-10,Avenal State Prison (ASP),35.930766,-120.10057,0,0,0,0
2020-03-10,California City Correctional Facility (CAC),35.139327,-117.91473,0,0,1,0
2020-03-10,Calipatria State Prison (CAL),33.131764,-115.51208,0,0,0,0
2020-03-10,California Correctional Center (CCC),40.446063,-120.664132,0,0,0,0
2020-03-10,California Correctional Institution (CCI),35.132673,-118.50781,0,0,0,0
2020-03-10,Central California Women's Facility (CCWF),37.100417,-120.27864,0,0,0,0
2020-03-10,California State Prison-Centinela (CEN),32.853471,-115.58942,0,0,0,0
2020-03-10,California Health Care Facility (CHCF),37.955474,-121.19064,0,0,0,0
2020-03-10,California Institution for Men (CIM),34.015963,-117.68737,0,0,0,0
2020-03-10,California Institution for Women (CIW),33.903803,-117.60221,0,0,0,0
2020-03-10,California Men's Colony (CMC),35.221085,-120.636399,0,0,0,0
2020-03-10,California Medical Facility (CMF),38.34896,-121.908324,0,0,1,0
2020-03-10,California State Prison-Corcoran (COR),36.085342,-119.5548,0,0,0,0
2020-03-10,California Rehabilitation Center (CRC),33.925885,-117.55978,0,0,0,0
2020-03-10,Correctional Training Facility (CTF),36.41176,-121.32617,0,0,0,0
2020-03-10,Chuckawalla Valley State Prison (CVSP),33.628333,-114.61905,0,0,0,0
2020-03-10,Deuel Vocational Institution (DVI),37.728417,-121.42399,0,0,0,0
2020-03-10,Folsom State Prison (FSP),38.672127,-121.15783,0,0,0,0
2020-03-10,High Desert State Prison (HDSP),40.474951,-120.67685,0,0,0,0
2020-03-10,Ironwood State Prison (ISP),33.59869,-114.652517,0,0,0,0
2020-03-10,Kern Valley State Prison (KVSP),35.771876,-119.26984,0,0,0,0
2020-03-10,California State Prison-Los Angeles County (LAC),34.728857,-118.32683,0,0,0,0
2020-03-10,Mule Creek State Prison (MCSP),38.346132,-120.94516,0,0,0,0
2020-03-10,North Kern State Prison (NKSP),35.774967,-119.23371,0,0,0,0
2020-03-10,Pelican Bay State Prison (PBSP),41.782681,-124.16703,0,0,0,0
2020-03-10,Pleasant Valley State Prison (PVSP),36.194736,-120.30865,0,0,0,0
