date,area,area_type,unvaccinated_cases,vaccinated_cases,unvaccinated_hosp,vaccinated_hosp,unvaccinated_deaths,vaccinated_deaths,population_unvaccinated,population_vaccinated,unvaccinated_cases_per_100k,vaccinated_cases_per_100k,unvaccinated_hosp_per_100k,vaccinated_hosp_per_100k,unvaccinated_deaths_per_100k,vaccinated_deaths_per_100k
2021-02-01,California,State,14637,24,777,1,12,0,36193501,338025,,,,,,
2021-02-02,California,State,12068,20,602,0,15,0,36076856,372221,,,,,,
2021-02-03,California,State,11008,27,557,0,18,0,35941856,408741,,,,,,
2021-02-04,California,State,9653,18,487,0,19,0,35778075,429995,,,,,,
2021-02-05,California,State,8977,16,503,1,28,0,35614684,445650,,,,,,
2021-02-06,California,State,6386,13,375,1,32,0,35510911,458684,,,,,,
2021-02-07,California,State,4913,7,374,0,45,0,35452876,463614,27.2563017373904,3.85172640540252,1.4808389592991,0.0924414337296606,0.0680984446589245,0.0
2021-02-08,California,State,8973,24,463,1,38,0,35336573,501597,25.0561931967766,3.5600577469847,1.35877029485247,0.0854413859276329,0.0788337421887031,0.0
2021-02-09,California,State,7388,16,426,0,38,0,35197441,542680,23.2557491080916,3.1852499236593,1.29270761473824,0.0789731386031231,0.0884804584028059,0.0
2021-02-10,California,State,7085,26,395,0,47,0,35046414,585141,21.7568621999386,2.9296967983541,1.23224345537076,0.0732424199588524,0.100682809618451,0.0
2021-02-11,California,State,6240,30,334,2,48,0,34884163,622192,20.4603692839888,3.03075945321426,1.17531843891453,0.114801494439934,0.113027139073314,0.0
2021-02-12,California,State,5870,19,370,2,60,0,34727079,659406,19.2747896492286,2.92471016122302,1.12592251136354,0.129987118276579,0.126702277493595,0.0
2021-02-13,California,State,4231,11,276,0,47,0,34611665,675776,18.4496015598044,2.81158253622502,1.0888154119634,0.105698591587407,0.133315912837066,0.0
2021-02-14,California,State,3364,6,233,0,60,0,34542498,680959,17.8459258257135,2.76920385179473,1.03268236626745,0.104894085295255,0.139786399598878,0.0
2021-02-15,California,State,4991,26,299,1,62,0,34413746,725136,16.2596987511079,2.63989888005245,0.968466828010279,0.0985036895541959,0.150272178199623,0.0
2021-02-16,California,State,5362,23,325,1,56,0,34264008,773259,15.4860542209273,2.60493019064209,0.93058915599466,0.110848093218812,0.158433637669342,0.0
2021-02-17,California,State,4804,24,264,0,56,0,34098210,831450,14.6057101363553,2.38825459824919,0.880230537447148,0.10309012654313,0.162974621164655,0.0
2021-02-18,California,State,4133,22,238,0,60,0,33922800,896248,13.7939253666729,2.08807001123414,0.844354155401593,0.0637578629384469,0.168870831080319,0.0
2021-02-19,California,State,3902,18,238,1,74,0,33746529,980434,13.0328747502976,1.89420486962188,0.792885776701445,0.0437124200681972,0.175679443316124,0.0
2021-02-20,California,State,2928,11,203,0,54,0,33619489,1017169,12.5284474133441,1.82579576957502,0.764862479447136,0.0421337485286544,0.179317759070384,0.0
2021-02-21,California,State,2498,17,178,1,52,1,33566101,1034494,12.179805197767,1.9471216984204,0.742671048644328,0.0552374949906497,0.176198174291548,0.0138093737476624
2021-02-22,California,State,4338,35,242,0,69,0,33440535,1100198,11.9465792039511,1.94770136180682,0.721109447390292,0.0389540272361365,0.17985016430765,0.0129846757453788
2021-02-23,California,State,3779,23,223,1,57,0,33309619,1190456,11.3146209893819,1.80003052851776,0.680198199119085,0.0360006105703553,0.180985901657159,0.0120002035234518
2021-02-24,California,State,3633,22,214,0,67,0,33167968,1309050,10.8585832830381,1.6151298378868,0.66156772530826,0.0327391183355432,0.186496630897446,0.0109130394451811
2021-02-25,California,State,3216,26,199,1,59,0,33018585,1436682,10.5109635333296,1.51141906937553,0.647687182406947,0.0397741860361981,0.186907723981163,0.0099435465090495
2021-02-26,California,State,3155,34,209,2,58,0,32866121,1569065,10.2350293874265,1.52957334463518,0.638086513812463,0.0455230162093804,0.180820156502714,0.009104603241876
2021-02-27,California,State,2411,12,153,0,59,0,32770821,1647472,10.0394189086688,1.46544870825466,0.618145723512476,0.0433564706584218,0.183525634413789,0.0086712941316843
2021-02-28,California,State,2063,16,165,2,63,1,32717736,1693506,9.86577171127349,1.41717832709184,0.613472416655864,0.0506135116818516,0.188626394302728,0.0084355852803085
2021-03-01,California,State,3545,26,223,1,46,0,32636776,1761130,9.54313449518245,1.28975633339309,0.606677571338542,0.0567817253695071,0.179026786924577,0.0081116750527867
2021-03-02,California,State,3056,35,167,3,58,0,32499656,1886695,9.26559257822826,1.29478116116126,0.584621572609876,0.0681463769032242,0.18022168779703,0.0075718196559138
2021-03-03,California,State,2987,42,147,3,37,1,32367721,2027613,9.01824382383919,1.34570622134077,0.557433658763221,0.0845469877282161,0.167715590126701,0.0140911646213694
2021-03-04,California,State,2763,39,163,2,51,1,32232326,2179900,8.85535134599257,1.33688963451797,0.543819624701346,0.0851939472977135,0.164874409444907,0.0196601416840877
2021-03-05,California,State,2745,30,211,2,46,0,32097018,2312596,8.71019945128325,1.2354699468229,0.547002305857287,0.0803055465434887,0.160228502936227,0.0185320492023435
2021-03-06,California,State,2075,21,134,1,41,0,32009456,2388802,8.58407055000962,1.24987934777109,0.540018995815308,0.0837239754487815,0.152633468238707,0.0179408518818817
2021-03-07,California,State,1825,29,147,2,35,0,31963984,2435466,8.48991253942026,1.30218552483532,0.532742458780214,0.0821198078724975,0.140336520182036,0.0117314011246425
2021-03-08,California,State,3108,48,178,1,41,0,31875838,2527778,8.31754043387256,1.37896377202202,0.514048110224248,0.0791208721651981,0.138483754192932,0.0113029817378854
2021-03-09,California,State,2670,37,134,3,44,0,31763783,2663965,8.1732797920917,1.31919365092474,0.50101984748749,0.0750760614347411,0.1326758123957,0.0107251516335344
2021-03-10,California,State,2570,50,157,3,48,1,31621324,2829832,8.02171164171187,1.28225683665017,0.507794767136976,0.0706755736736315,0.138243059380707,0.0100965105248045
2021-03-11,California,State,2406,44,148,5,35,0,31441673,2999286,7.90534087855767,1.23362693654423,0.503880857194118,0.0809716522056059,0.131763253910094,0.0047630383650356
2021-03-12,California,State,2318,42,125,5,47,0,31232039,3173327,7.76309042317547,1.21999043005293,0.467926084309952,0.0900361940998472,0.133105073835969,0.0045018097049923
2021-03-13,California,State,1774,27,133,4,38,0,31080834,3296081,7.66250811857696,1.20055995503231,0.469742864686321,0.0996854836308418,0.132373723120998,0.0043341514622105
2021-03-14,California,State,1505,30,96,2,37,0,30997598,3359723,7.53560692946964,1.18207023954909,0.447500111828941,0.0977971780921905,0.133650908785163,0.0042520512213995
2021-03-15,California,State,2675,53,167,9,24,0,30845145,3475143,7.3723109422893,1.16336425374643,0.444617320303915,0.12743566030438,0.126438050461426,0.0041108277517541
2021-03-16,California,State,2351,51,144,5,41,1,30657174,3609202,7.26886493656777,1.1755665498515,0.452003268701246,0.130618505539056,0.125815342834367,0.007916273062973
