Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Dist_Bivalent_MOD,Dist_Bivalent_PFR,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Administered_12Plus_Entity,Administered_Bivalent,Admin_Bivalent_MOD,Admin_Bivalent_PFR,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5PlusPop_Pct,Series_Complete_5Plus,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Administered_Dose1_<5,Administered_Novavax,Distributed_Novavax,Bivalent_Booster,Bivalent_Booster_5Plus,Bivalent_Booster_12Plus,Bivalent_Booster_18Plus,Bivalent_Booster_65Plus,Bivalent_Booster_Pop_Pct,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus_Pop_Pct
2023-03-01,US,USA,United States,332008832,965128255,672076105,290694,202427,251412884,400765648,18982882,38028000.0,80627820.0,833995,269554116,81.2,66.3,237837162,92.1,603953164,233895,373768,58768279,95.0,182538047,333147,1761440,220155111,193662153,75.0,350174620,582254535,31551500,0,230075934,69.3,203989714,79.0,51655646,94.3,0,283520141,644310670,227254,340409,256054190,90.3,209237516,73.8,219589657,77.5,0,54086801.0,19558193.0,34528608.0,267490279,85.7,73.3,228987227,667960848,213908,309073,1866921.0,80696,1147600,53663902,53598746,52374418,50544428,22700520,16.2,17.2,18.5,19.6,41.4
2023-03-01,AK,AKA,Alaska,731545,2125955,1318755,290612,180270,505047,765575,46322,,,1517,534386,73.0,60.9,466466,84.6,1169907,212108,385443,90767,95.0,284980,311154,2321220,445292,385979,70.0,795620,1238735,86200,0,476567,65.1,417949,75.8,81857,89.4,270286,608877,1255684,206230,349160,504059,82.8,420024,69.0,452148,74.3,1163600,,,,529255,77.8,69.6,473822,1309403,192428,312427,,294,5400,98233,98232,95541,91331,37782,13.4,14.4,15.7,16.6,41.3
2023-03-01,AL,ALA,Alabama,4903185,12169370,6988067,248193,142521,3024468,3782136,179809,,,904,3187500,65.0,50.9,2930472,76.8,6500009,170386,318998,839086,95.0,2233154,262774,1431970,2494006,2297449,60.2,5210660,6533610,402500,0,2607186,53.2,2412995,63.3,724190,85.2,2163469,4186880,6833186,163205,290655,3103186,74.1,2434756,58.2,2550390,60.9,6616229,,,,3178336,69.0,56.5,2603606,6970326,151239,264045,,750,22600,357312,357312,355762,348730,193096,7.3,7.8,8.5,9.1,22.7
2023-03-01,AR,ARA,Arkansas,3017804,8257310,4850072,273620,160715,2066103,2649281,126304,,,4717,2110009,69.9,54.4,1887290,81.4,4414794,190486,356280,523378,95.0,1496563,285668,1576180,1640585,1467338,63.3,3395420,4569790,265400,0,1716584,56.9,1544924,66.7,440321,84.0,1433595,2557248,4695839,183629,322898,2027361,79.3,1580615,61.8,1658601,64.9,4558226,,,,2099346,74.2,60.5,1712199,4831467,170763,291846,,3667,26700,318188,318115,314087,306426,169736,10.5,11.2,12.3,13.2,32.4
2023-03-01,AS,ASA,American Samoa,47392,128480,115189,271101,243056,25553,87776,580,,,1280,46195,95.0,89.1,32783,95.0,85667,273391,410021,3313,95.0,9474,289018,3919460,42241,29717,94.8,25500,102380,600,0,42467,89.6,29943,95.0,2994,91.3,9397,36917,102388,277346,348024,39577,95.0,36151,95.0,36378,95.0,102254,,,,46174,95.0,95.0,42466,115166,267145,298028,,0,0,528,528,525,520,190,1.1,1.2,1.4,1.7,5.8
2023-03-01,AZ,AZA,Arizona,7278717,19541930,14526275,268480,199572,5593345,8488346,387107,,,55359,5671089,77.9,63.1,4934468,87.5,12971967,230061,346581,1345836,95.0,4422533,337951,1493310,4595732,4007669,71.1,7237320,11664010,621000,0,4809730,66.1,4231532,75.0,1186287,90.7,4185617,6206060,13913631,224194,314885,5366604,86.5,4362639,70.3,4586749,73.9,13098321,,,,5632231,82.2,70.0,4795080,14454849,211053,285328,,2118,19600,1073514,1073481,1049336,1009896,497032,14.7,15.7,16.9,17.9,38.0
2023-03-01,BP2,BP2,Bureau of Prisons,0,416290,347123,0,0,156547,175707,14831,,,38,155494,0.0,0.0,155492,0.0,347121,0,0,4220,0.0,11902,0,0,131383,131383,0.0,183220,216870,16200,0,141492,0.0,141491,0.0,3815,0.0,11902,0,347121,0,0,155492,0.0,131383,0.0,141491,0.0,347121,,,,155492,0.0,0.0,141491,347121,0,0,,0,0,9578,9578,9578,9578,667,0.0,0.0,0.0,0.0,0.0
2023-03-01,CA,CAA,California,39512223,118694355,87849577,300399,222335,32863931,52647234,2315305,,,12897,33509455,84.8,72.2,29019648,94.8,77770511,254006,387667,6045176,95.0,20086111,344051,2033090,28526518,24594182,80.3,42295980,72470975,3784900,0,29529176,74.7,25645657,83.8,5432823,93.1,19591819,33646265,83656539,248635,352771,31549358,93.8,26859783,79.8,27918462,83.0,82150856,,,,33178757,89.4,79.0,29327290,87182236,234812,319685,,10210,142500,7737412,7721798,7516438,7211077,2717090,19.6,20.8,22.3,23.6,46.5
2023-03-01,CO,COA,Colorado,5758736,17382945,12922452,301853,224397,4849467,7703176,346838,,,20272,4821891,83.7,70.7,4209700,93.6,11528465,256233,386355,901203,95.0,3139778,372713,2063470,4071424,3547008,78.8,6073040,10775505,501900,0,4234966,73.5,3721483,82.7,816768,95.0,3023009,4936061,12304350,249275,352162,4538354,91.9,3840360,77.8,4015074,81.3,11825278,,,,4763913,87.8,77.5,4204784,12799677,235872,320332,,2699,32500,1203420,1201746,1168257,1119491,440526,20.9,22.1,23.7,24.9,52.3
2023-03-01,CT,CTA,Connecticut,3565287,11702715,8989907,328240,252151,3435634,5299580,252674,,,1324,3659371,95.0,79.4,3216742,95.0,8040829,283343,412380,820895,95.0,2464906,391103,1856860,2829300,2462708,86.8,4523680,6814935,355100,0,2961528,83.1,2598839,91.6,653097,95.0,2301989,3105947,8610367,277222,376784,3473032,95.0,2676474,86.2,2812689,90.6,8144506,,,,3630528,95.0,87.0,2944197,8932020,263982,345868,,695,9000,873910,873132,856079,825954,369768,24.5,25.8,27.6,29.1,58.7
